Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
neutrophil degranulation (GO:0043312)	46/480	0.000000000000005217130844680287572765419996126146309919045795933101317132241092622280120849609375	0.000000000004616120413166516288373382751230035686389185922706701603601686656475067138671875	0.0000000000180064972555990757992009739353608615240742718555111423484049737453460693359375	0.0000000127531016812780450995497595069981533466574319390929304063320159912109375	-2.014437791582281	66.24847076136324	CYFIP1;GRN;B4GALT1;ITGAM;CTSZ;PTAFR;FGL2;ITGB2;SLC2A3;PYGL;PSEN1;TCIRG1;SLC2A5;ITGAL;CTSS;CST3;C3;NCSTN;ALOX5;LAMP2;ITGAX;OLR1;CTSH;NCKAP1L;GOLGA7;CD55;PGM1;CTSC;CAP1;GSDMD;CD300A;RNASET2;ADAM10;TNFRSF1B;UNC13D;DERA;NFASC;TYROBP;PTPRC;FCGR2A;BIN2;PTPN6;MAN2B1;DOCK2;CD44;TLR2
neutrophil mediated immunity (GO:0002446)	47/488	0.0000000000000021425459917453776384634630830366501229254628212161915001843226491473615169525146484375	0.0000000000030349163973073272769720757281817013844248120957303171962848864495754241943359375	0.00000000000909244837386147471037675785256700132334894970398408986511640250682830810546875	0.0000000085863020810498532649391676004578533021316388840205036103725433349609375	-1.9449618792908565	65.6945525340033	CYFIP1;GRN;B4GALT1;ITGAM;CTSZ;PTAFR;FGL2;ITGB2;SLC2A3;PYGL;PSEN1;TCIRG1;SLC2A5;ITGAL;CTSS;CST3;C3;NCSTN;ALOX5;LAMP2;ITGAX;OLR1;CTSH;NCKAP1L;GOLGA7;CD55;PGM1;CTSC;CAP1;GSDMD;ACE;CD300A;RNASET2;ADAM10;TNFRSF1B;UNC13D;DERA;NFASC;TYROBP;PTPRC;FCGR2A;BIN2;PTPN6;MAN2B1;DOCK2;CD44;TLR2
cellular response to interferon-gamma (GO:0071346)	21/117	0.00000000000122679932483512670473734596222332209817899861814538553517195396125316619873046875	0.00000000057925374787631892904201324516672878817136194129489012993872165679931640625	0.000000000435955718894320674846589594247057986020621456191292963922023773193359375	0.0000002206860347451828593921276631950600943810059106908738613128662109375	-1.9939271592769323	54.68666757666929	CIITA;HLA-DRB5;IFNGR1;PTAFR;HCK;OAS1;OAS3;IRF7;CASP1;HLA-DPB1;HLA-DRA;IRF5;LGALS9;TRIM38;FCGR1A;GBP1;TRIM21;CD44;HLA-DRB1;HLA-DPA1;HLA-DQB1
negative regulation of amyloid precursor protein catabolic process (GO:1902992)	6/12	0.00000019041991888397708412969562552508051567201619036495685577392578125	0.00007706566145690101998604049082786104918341152369976043701171875	0.000007721620663578482841675997006003484557368210516870021820068359375	0.0027344189174897302017919198391382451518438756465911865234375	-2.777517941791732	42.979407355961975	BIN1;ABCA7;APOE;SORL1;CLU;PICALM
interferon-gamma-mediated signaling pathway (GO:0060333)	19/71	0.0000000000000065176426589008353853890662154237523437906522312534907115377791342325508594512939453125	0.000000000004616120413166516288373382751230035686389185922706701603601686656475067138671875	0.000000000008203757863533286466146054330210966865077892862245789729058742523193359375	0.0000000085863020810498532649391676004578533021316388840205036103725433349609375	-1.3082138290136909	42.731841408046925	CIITA;HLA-DRB5;IFNGR1;PTAFR;HCK;OAS1;OAS3;IRF7;HLA-DPB1;HLA-DRA;IRF5;TRIM38;FCGR1A;GBP1;TRIM21;CD44;HLA-DRB1;HLA-DPA1;HLA-DQB1
neutrophil activation involved in immune response (GO:0002283)	47/484	0.000000000000001563294393282694976248138695169894859531727927814959144825479597784578800201416015625	0.0000000000030349163973073272769720757281817013844248120957303171962848864495754241943359375	0.000000000006982766444009150585888989480328758216280682358245712748612277209758758544921875	0.0000000085863020810498532649391676004578533021316388840205036103725433349609375	-1.2512108507491362	42.65625656296871	CYFIP1;GRN;B4GALT1;ITGAM;CTSZ;PTAFR;FGL2;ITGB2;SLC2A3;PYGL;PSEN1;TCIRG1;SLC2A5;ITGAL;CTSS;CST3;C3;NCSTN;ALOX5;LAMP2;ITGAX;OLR1;CTSH;NCKAP1L;GOLGA7;CD55;PGM1;CTSC;CAP1;GSDMD;SYK;CD300A;RNASET2;ADAM10;TNFRSF1B;UNC13D;DERA;NFASC;TYROBP;PTPRC;FCGR2A;BIN2;PTPN6;MAN2B1;DOCK2;CD44;TLR2
negative regulation of amyloid-beta formation (GO:1902430)	5/10	0.0000021533671961362651659931295722305577555744093842804431915283203125	0.0004010125829799608709359814984196646037162281572818756103515625	0.0000462768979904627599289944350768877256996347568929195404052734375	0.0087401634671320678482420163390997913666069507598876953125	-3.1379040866361683	40.94487182304778	BIN1;ABCA7;APOE;SORL1;CLU
cytokine-mediated signaling pathway (GO:0019221)	51/634	0.0000000000001749400460723062727119853491629801567710557341772670270074740983545780181884765625	0.0000000000991210301045687376628051738127063961802942770873414701782166957855224609375	0.000000000467390119474443035782001176531470776343013540099491365253925323486328125	0.0000002206860347451828593921276631950600943810059106908738613128662109375	-1.341920372345737	39.418015975477175	CIITA;ITGAM;ITGB2;IFIT3;IFIT2;MYC;ITGAX;CASP1;TRIM21;IL13RA1;HLA-DPA1;SYK;IFNGR1;MMP2;IL18;TNFRSF1B;IL17RA;HCK;OAS1;OAS3;PSME4;IRF7;IRF5;TP53;CD44;HLA-DQB1;FOXC1;PTAFR;NOD1;ADIPOR2;IL1RL1;INPP5D;ALOX5;HMOX1;FCGR1A;GBP1;HLA-DRB5;TGFB1;SOD2;CD4;BCL6;HLA-DPB1;HLA-DRA;PTPN6;LTBR;TRIM38;XAF1;MAP3K14;IL18R1;HLA-DRB1;LIMS1
positive regulation of actin nucleation (GO:0051127)	6/14	0.000000593050360076648873876759178458417665069646318443119525909423828125	0.0001680111670097146256940001673996221143170259892940521240234375	0.0000153493095559221874070454649796602097922004759311676025390625	0.00483162155243639472590455596900937962345778942108154296875	-2.598811590024401	37.26172553880043	CYFIP1;SCIN;ABI2;WIPF3;WAS;WASL
regulation of mast cell degranulation (GO:0043304)	6/16	0.000001515555626845490833090276429351295206515715108253061771392822265625	0.0003066835064895196273464239578032675126451067626476287841796875	0.00002813256535016517195292064246192609289209940470755100250244140625	0.007749392088034784235872631796837595175020396709442138671875	-2.5462127834694486	34.11855983837109	ADGRE2;CD84;SYK;CD300A;LGALS9;UNC13D
regulation of amyloid-beta clearance (GO:1900221)	5/11	0.0000038667887298801113438628980489841779899506946094334125518798828125	0.00057655855114475550345087828674195407074876129627227783203125	0.000065721506204278922944582441711958153973682783544063568115234375	0.01063664342637696096083299579504455323331058025360107421875	-2.372816235459261	29.572613234076346	LRP1;ABCA7;APOE;CLU;PICALM
regulation of amyloid-beta formation (GO:1902003)	7/19	0.000000224218905193204460254462000688702172368493847898207604885101318359375	0.000079401519801543531357039540363729201999376527965068817138671875	0.000006500884184626611362613733680060335018424666486680507659912109375	0.0026310006992924556308566241824564713169820606708526611328125	-1.8416532791576652	28.196895899794402	APP;BIN1;ABCA7;APOE;SORL1;CLU;PICALM
