Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MHC class II receptor activity (GO:0032395)	11-Apr	0.000109909	0.007673958	0.000807251	0.054373252	-2.670133856	24.34057165	HLA-DRA;HLA-DOA;HLA-DPA1;HLA-DQB1
activin binding (GO:0048185)	11-Apr	0.000109909	0.007673958	0.000807251	0.054373252	-2.614792658	23.83608892	ACVR1;FKBP1A;FSTL3;ENG
MHC class II protein complex binding (GO:0023026)	17-May	4.57419E-05	0.007673958	0.000390983	0.054373252	-2.196197581	21.94549294	CD74;HLA-DMA;HLA-DRA;HLA-DOA;HLA-DRB1
MHC protein complex binding (GO:0023023)	20-May	0.000107723	0.007673958	0.000733095	0.054373252	-2.240877998	20.47254538	CD74;HLA-DMA;HLA-DRA;HLA-DOA;HLA-DRB1
transforming growth factor beta binding (GO:0050431)	20-May	0.000107723	0.007673958	0.000733095	0.054373252	-2.213263297	20.2202589	ACVR1;HYAL2;THBS1;TGFBR1;ENG
phosphotyrosine residue binding (GO:0001784)	30-Jun	8.35033E-05	0.007673958	0.000604772	0.054373252	-2.047150339	19.22401907	HCK;SYK;SH3BP2;PLCG2;SHB;PTPN3
transforming growth factor beta receptor binding (GO:0005160)	Jul-45	0.000115181	0.007673958	0.000816109	0.054373252	-1.776018773	16.10671901	FKBP1A;TGFB1;TGFBRAP1;INHBB;BMP7;TGFBR1;ENG
amyloid-beta binding (GO:0001540)	Aug-50	3.034E-05	0.007673958	0.000294302	0.054373252	-1.431101232	14.88780665	CST3;CD74;ITGB2;APOE;MAPK8IP2;SORL1;ITM2A;CLU
scavenger receptor activity (GO:0005044)	22-May	0.00017558	0.010398236	0.001060915	0.062829747	-2.325559192	20.11007757	SCARB2;LRP1;STAB1;SCARF1;CXCL16
protein phosphorylated amino acid binding (GO:0045309)	Jun-35	0.000205391	0.010947366	0.00123232	0.065682647	-2.111504548	17.92792518	HCK;SYK;SH3BP2;PLCG2;SHB;PTPN3
