,Correlation,Feature
199,-0.36369560852598465,TCXbrownTCXauthority_score
198,-0.3597684547641438,TCXbrownTCXdegree
201,-0.3592794621474963,TCXbrownTCXeccentricity
67,-0.3427764327874185,DLPFCredDLPFCauthority_score
69,-0.3421161450660637,DLPFCredDLPFCeccentricity
200,-0.3420499158732643,TCXbrownTCXcloseness
66,-0.3418095602502467,DLPFCredDLPFCdegree
203,-0.34073409914995756,TCXbrownTCXpagerank
68,-0.3316092456458471,DLPFCredDLPFCcloseness
71,-0.3314270486583039,DLPFCredDLPFCpagerank
7,-0.32010354139094643,CBEbrownCBEauthority_score
9,-0.3184975870190829,CBEbrownCBEeccentricity
202,-0.31801562439298,TCXbrownTCXcentr_betw
6,-0.31645100920580943,CBEbrownCBEdegree
70,-0.31336807742434125,DLPFCredDLPFCcentr_betw
27,0.3089909707060155,CBEturquoiseCBEeccentricity
29,0.30807417695200817,CBEturquoiseCBEpagerank
26,0.307557446317807,CBEturquoiseCBEcloseness
25,0.3074929716282728,CBEturquoiseCBEauthority_score
24,0.30484241698255793,CBEturquoiseCBEdegree
158,-0.3018852496432386,PHGyellowPHGcloseness
157,-0.301750993752904,PHGyellowPHGauthority_score
8,-0.30148372386804595,CBEbrownCBEcloseness
161,-0.3013665679245698,PHGyellowPHGpagerank
11,-0.30015455762263954,CBEbrownCBEpagerank
28,0.28412284336696075,CBEturquoiseCBEcentr_betw
10,-0.2740134477563551,CBEbrownCBEcentr_betw
156,-0.26898456418818684,PHGyellowPHGdegree
159,-0.26858515361141927,PHGyellowPHGeccentricity
241,0.26071657325116165,TCXturquoiseTCXauthority_score
243,0.26010842604919815,TCXturquoiseTCXeccentricity
240,0.25754399353013163,TCXturquoiseTCXdegree
249,-0.25452963955524566,TCXyellowTCXeccentricity
246,-0.25451630028486094,TCXyellowTCXdegree
242,0.25364887679686116,TCXturquoiseTCXcloseness
245,0.2529899850388103,TCXturquoiseTCXpagerank
248,-0.24451136822356345,TCXyellowTCXcloseness
247,-0.24440544966544994,TCXyellowTCXauthority_score
251,-0.24427653211101283,TCXyellowTCXpagerank
244,0.24155150727735178,TCXturquoiseTCXcentr_betw
250,-0.2220185998393212,TCXyellowTCXcentr_betw
160,-0.21967313404760458,PHGyellowPHGcentr_betw
151,0.2081268515516722,PHGturquoisePHGauthority_score
4,-0.20500413784941346,CBEblueCBEcentr_betw
124,0.20410010366733292,IFGturquoiseIFGcentr_betw
153,0.20334559885871697,PHGturquoisePHGeccentricity
120,0.2032730774358848,IFGturquoiseIFGdegree
121,0.20243378245096716,IFGturquoiseIFGauthority_score
150,0.20212009443402387,PHGturquoisePHGdegree
122,0.20187662369348514,IFGturquoiseIFGcloseness
123,0.20180396366064446,IFGturquoiseIFGeccentricity
125,0.2012987475207351,IFGturquoiseIFGpagerank
0,-0.18762353536485527,CBEblueCBEdegree
154,0.18668130921999257,PHGturquoisePHGcentr_betw
51,0.18639256878760918,DLPFCbrownDLPFCeccentricity
48,0.18524766476647037,DLPFCbrownDLPFCdegree
1,-0.18404647228445925,CBEblueCBEauthority_score
49,0.18369503405671064,DLPFCbrownDLPFCauthority_score
