,Mean,Min,Names
0,-0.03109696969617186,0.9309,AGRN
1,-0.17874394820618922,0.4966,C1orf167
2,-0.06698045006171148,0.795,AL953897.1
3,-0.029922161780789103,0.9109,MTHFR
4,-0.05601798686446283,0.8464,FHAD1
5,-0.42358182785619986,0.2167,CLCNKA
6,-0.03484535401307466,0.9229,KLHDC7A
7,-0.31285319701683517,0.08363,HSPG2
8,-0.13327380583125337,0.7185,EPHA10
9,-0.21731058237984516,0.4961,CFAP57
10,-0.04711073508906987,0.8972,AKNAD1
11,-0.1431054017411961,0.6669,SPTA1
12,-0.033295223342125445,0.9262,APOBEC4
13,-0.14678866549668304,0.7132,IGFN1
14,-0.13853741334537156,0.6446,OBSCN
15,-0.0365191202345008,0.9193,PCNX2
16,-0.13346441521710853,0.594,AC118470.1
17,-0.027385895495847863,0.9132,PFKP
18,-0.05940680887831146,0.7539,PITRM1
19,-0.02570636759055353,0.9274,CDH23
20,-0.02197449969726191,0.909,MKI67
21,-0.07040328171054985,0.841,ADAM8
22,-0.09228089490689824,0.722,CDHR5
23,-0.058423763413576094,0.836,SYT8
24,-0.1913645002878699,0.4952,OR51F1
25,-0.7100044997115484,0.04675,OR51B6
26,-0.7534992948555718,0.09036,OR51J1
27,-0.039467939963692626,0.9018,TRIM22
28,-0.11379137583250251,0.7695,OR52N2
29,-0.17823412784347398,0.3597,DNHD1
30,-0.08819740352386202,0.6978,MICAL2
31,-0.08244344884762832,0.7414,OR4C16
32,-0.07201405290057143,0.8472,OR5W2
33,-0.017593071136205212,0.9603,OR10AG1
34,-0.18184011360281466,0.6579,IGHMBP2
35,-0.27351730321517037,0.5327,USP35
36,-0.3340257088234685,0.3769,SYTL2
37,-0.027612000892527164,0.9384,EXPH5
38,-0.00013030789173217684,0.9997,OR8D4
39,-0.00017375254558756316,0.9996,WNK1
40,-0.019860222254245517,0.9553,TAS2R20
41,-0.11012515314283859,0.7652,KIAA1551
42,-0.1079268105531017,0.7013,MUC19
43,-0.01628352608625069,0.9632,KRT5
44,-0.0056388480919989875,0.9871,KRT78
45,-0.1518874927773068,0.6716,METTL25
46,-0.06656333217371951,0.8579,P2RX7
47,-0.0621312034361406,0.8667,LMO7
48,-0.05918479134919866,0.8726,OR11H6
49,-0.12061627597712617,0.5053,TEP1
50,-0.08776298578848289,0.7274,FANCM
51,-0.20788445564736077,0.5211,SYNE2
52,-0.01327304066878149,0.9699,AHNAK2
53,-0.09582563171583647,0.802,NEDD4
54,-0.14191293951843045,0.5664,AKAP13
55,-0.1072954496016173,0.7716,AC087286.3
56,-0.028301519091951378,0.916,MAN2A2
57,-0.22228326139037402,0.5994,LINS1
58,-0.06542589510746671,0.8596,CHSY1
59,-0.06673513466084857,0.7928,PDIA2
60,-0.1464856961968098,0.5224,WDR90
61,-0.1815291204341195,0.5683,CHTF18
62,-0.08724431453296043,0.744,CACNA1H
63,-0.10546241500425357,0.7844,TPSG1
64,-0.08081727095749934,0.8302,PTX4
65,-0.12107626603243281,0.7567,TBL3
66,-0.049307486408524115,0.8228,PKD1
67,-0.20668348321705746,0.5129,SRRM2
68,-0.13525160769611178,0.7239,CCP110
69,-0.03809860876212086,0.8463,IL4R
70,-0.09107713316993392,0.7714,NLRC5
71,-0.1285327804964334,0.5171,PKD1L2
72,-0.2440429176098692,0.3827,DNAAF1
73,-0.14630178822382564,0.714,ATP2C2
74,-0.15689710494741776,0.5951,CTU2
75,-0.2665230257193902,0.2827,PIEZO1
76,-0.10281128947304236,0.6151,ZNF778
77,-0.06772369155414847,0.7319,AC009113.2
78,-0.11008231656379414,0.7761,FANCA
79,-0.06418428061140372,0.7817,GAS8
80,-0.023528556443332207,0.879,GEMIN4
