,Mean,Min,Names
0,-0.17444118052587512,0.537,C1orf167
1,-0.30496631572319755,0.1082,HSPG2
2,-0.18827051885185542,0.5439,CFAP57
3,-0.1431054017411961,0.6669,SPTA1
4,-0.14678866549668304,0.7132,IGFN1
5,-0.0365191202345008,0.9193,PCNX2
6,-0.05028981643222583,0.7937,PITRM1
7,-0.018445911950452806,0.909,MKI67
8,-0.04740126547022696,0.8966,CDHR5
9,-0.058423763413576094,0.836,SYT8
10,-0.1913645002878699,0.4952,OR51F1
11,-0.7100044997115484,0.04675,OR51B6
12,-0.7534992948555718,0.09036,OR51J1
13,-0.03404611089793706,0.9246,TRIM22
14,-0.11379137583250251,0.7695,OR52N2
15,-0.15411736750825042,0.4399,DNHD1
16,-0.06538602791012257,0.805,MICAL2
17,-0.08244344884762832,0.7414,OR4C16
18,-0.07201405290057143,0.8472,OR5W2
19,-0.017593071136205212,0.9603,OR10AG1
20,-0.18184011360281466,0.6579,IGHMBP2
21,-0.10071314669274237,0.7134,MUC19
22,-0.01628352608625069,0.9632,KRT5
23,-0.1308856730206247,0.7398,METTL25
24,-0.06656333217371951,0.8579,P2RX7
25,-0.0621312034361406,0.8667,LMO7
26,-0.05918479134919866,0.8726,OR11H6
27,-0.04774594196068005,0.8914,TEP1
28,-0.17028722005442162,0.548,SYNE2
29,-0.09582563171583647,0.802,NEDD4
30,-0.018498511851753156,0.9583,MAN2A2
31,-0.22228326139037402,0.5994,LINS1
32,-0.04244059810252044,0.9069,PDIA2
33,-0.11260791231276662,0.5418,WDR90
34,-0.16394711042515858,0.5932,CHTF18
35,-0.05253479342303785,0.8798,PKD1
36,-0.125883299673013,0.7183,SRRM2
37,-0.004949683219513451,0.9807,IL4R
38,-0.09351535457125683,0.7714,NLRC5
39,-0.08420402321912966,0.519,PKD1L2
40,-0.2151931475822639,0.4344,DNAAF1
41,-0.14630178822382564,0.714,ATP2C2
42,-0.15689710494741776,0.5951,CTU2
43,-0.19631095936997062,0.3897,PIEZO1
44,-0.08734800611544095,0.6236,ZNF778
45,-0.06418428061140372,0.7817,GAS8
46,-0.002482560585275175,0.9943,GEMIN4
47,-0.2963647624161041,0.5054,PRPF8
48,-0.06869471857832676,0.8537,MYBBP1A
49,-0.6855007720268484,0.2063,RABEP1
50,-0.26090266218809455,0.3603,TSPOAP1
51,-0.17665830760987808,0.5843,TSEN54
52,-0.06973176894819823,0.7181,DNAH17
53,-0.02742691907344505,0.9388,ENGASE
54,-0.10901296454973797,0.5896,RNF213
55,-0.057005476333503814,0.8189,TXNDC2
56,-0.01037222925484898,0.9764,CEP192
57,-0.19329781007395774,0.5851,ALPK2
58,-0.009749967072183214,0.9778,PIGN
59,-0.0036634819042161626,0.9916,SERPINB11
60,-0.0967525365858047,0.721,PTBP1
61,-0.11328372588352191,0.7704,GRIN3B
62,-0.006651960076740102,0.9848,ABCA7
63,-0.2985318559268659,0.3089,C3
64,-0.06427658442897438,0.8174,DOCK6
65,-0.17940450345550976,0.6616,ZNF844
66,-0.22826557461323072,0.5912,ZNF85
67,-0.05158703422139897,0.888,BCAM
68,-0.11491958467684005,0.6414,NLRP2
69,-0.03165716904105456,0.9297,NLRP4
70,-0.028075050815808637,0.9374,NEB
71,-0.39649983937838806,0.08995,TTN-AS1
72,-0.043585926672573,0.8962,SP110
73,-0.053302162754258094,0.8845,COL6A3
74,-0.004715892310740337,0.9892,RAB17
75,-0.028235798792855347,0.9119,GPC1
76,-0.015427684378367772,0.9651,ANO7
77,-0.032405227328110235,0.9281,CHGB
78,-0.040958607678906384,0.91,CFAP61
79,-0.037251946641359494,0.9178,PCK1
80,-0.2161924460963484,0.3309,LAMA5
81,-0.08310133019106486,0.7861,COL6A2
82,-0.059735524789678154,0.8453,PCNT
83,-0.026293934507606666,0.9095,APOL4
84,-0.3525192268263241,0.4441,CRELD2
85,-0.12604034525664687,0.7481,HDAC10
86,-0.05505443485910767,0.8255,TTC21A
87,-0.038578905933551705,0.915,KALRN
88,-0.049732531986411525,0.8918,ITGB5
89,-0.06677283490796625,0.8397,PLXND1
90,-0.20759429670892623,0.4715,IDUA
91,-0.3076757940413738,0.4444,TACC3
92,-0.12256778823241532,0.6287,FAT1
93,-0.048806461364428164,0.8151,MTRR
94,-0.11800724732367748,0.653,ADGRV1
95,-0.09500712643967711,0.6799,GRM6
96,-0.14826931057843268,0.5573,BTN3A2
97,-0.017547848615010273,0.9604,OR10C1
98,-0.05332414948414306,0.8756,HCG4P5
99,-0.02067248375105678,0.9268,TRIM31
100,-0.2910750635753332,0.2456,MDC1
101,-0.0847235321255356,0.7899,C6orf15
102,-0.04809405126408051,0.8613,PSORS1C1
103,-0.1720468827443271,0.2552,CCHCR1
104,-0.13804208237961726,0.4681,HLA-B
105,-0.3445937136676287,0.1003,HLA-C
106,-0.06858521077069793,0.6269,MICA
107,-0.016173655242933314,0.9277,PRRC2A
108,-0.03574135283426213,0.8997,CFB
109,-0.230865903133353,0.4162,HLA-DPA1
110,-0.18835080454664072,0.3336,HLA-DPB1
111,-0.12985309032359252,0.5746,SYNE1
112,-0.04604423641723203,0.8767,DNAH11
113,-0.0822844834405066,0.8274,SSPO
114,-0.1318745351849748,0.5798,MTUS1
115,-0.011441043121384482,0.974,CCAR2
116,-0.20360684060735507,0.5753,PTK2B
117,-0.12796033202671378,0.7448,MATN2
118,-0.17431429197824166,0.6694,TRAPPC9
119,-0.0379149194826401,0.9164,RGS3
120,-0.05651497993704124,0.7849,ABO
121,-0.039529222465701036,0.913,ABCA2
