,IC_h,IC_l,ILB,Labels,Mod1,Mod2,Mod3
0,0.974853311,0.939647946,0.94635373,1,0.904442582,0.90947192,0.942162615
1,0.995808885,0.978625314,0.986169321,2,0.958927075,0.987845767,0.971081308
2,0.959765298,0.927074602,0.904442582,3,0.83906119,0.853310981,0.846605197
3,0.985331098,0.893126572,0.993294216,4,0.97736798,0.974853311,0.991198659
4,0.94928751,0.86714166,0.97736798,5,0.964794635,0.955993294,0.975691534
5,0.96898575,0.90402347,0.979463537,6,0.96605197,0.971081308,0.983654652
6,0.982397318,0.944258173,0.986588433,7,0.954316848,0.976948868,0.986169321
7,0.987426655,0.930427494,0.992036882,8,0.984073764,0.968147527,0.993294216
8,0.975691534,0.888935457,0.984492875,9,0.96605197,0.963956412,0.989941324
9,0.976110645,0.925398156,0.987426655,10,0.967309304,0.966471081,0.988264878
10,0.954316848,0.887678122,0.984911987,11,0.964375524,0.94635373,0.982816429
11,0.999161777,0.99161777,0.998742666,12,0.996227997,0.995389774,0.99706622
12,0.958088852,0.90402347,0.987426655,13,0.976948868,0.96898575,0.987007544
13,0.975691534,0.918273261,0.986588433,14,0.964794635,0.977787091,0.984492875
14,0.981139983,0.928751048,0.989522213,15,0.984492875,0.95766974,0.99161777
15,0.975691534,0.934199497,0.989103101,16,0.980720872,0.966471081,0.987845767
16,0.950963956,0.871332775,0.978206203,17,0.967309304,0.965213747,0.977787091
17,0.984073764,0.937133277,0.99161777,18,0.987426655,0.964794635,0.984911987
18,0.971919531,0.882229673,0.990360436,19,0.981559095,0.96898575,0.987426655
19,0.975691534,0.920368818,0.984911987,20,0.979882649,0.968566639,0.979044426
,0.974119866,0.918713328,0.980951383,,0.96330679,0.96041492,0.976404023
