,GeneSymb,MeanPval,OR,Pval,Y
0,RNF14,-2.48766747212106,-0.061726341972171,0.000183065,0.464527156706144
1,PGM2L1,-1.9057216752359307,0.17997207722390074,0.000212053,0.6021426904274105
2,ZNF708,-2.2040502249730656,2.166871359526052,0.000215544,0.9932363481472792
3,CAMK1,-1.8857421041104878,-0.06648368228642544,0.000765409,0.4618034809673963
4,CAMK4,-2.1290335641981564,-0.15479358466688065,9.23905e-05,0.41182515024946265
5,ZNF704,-3.2214264125873653,-0.0004384782567368728,7.6585e-05,0.4997475916470501
6,ZC3H13,-2.393865769137579,-6.424772518626299e-05,8.4577e-05,0.4999630160364993
7,SPTLC2,-2.885518151538674,-0.002171698118719413,0.000140055,0.49874987267631066
8,KDM2B,-2.1886926527878323,-0.3811787695084399,7.47168e-05,0.2936553371343517
9,DIMT1,-2.3697071154117517,-0.11852530211370492,0.000267078,0.4321917069079151
10,TCOF1,-2.278632435673802,-0.03946126787606647,0.000109284,0.477299883876083
11,NSRP1,-1.7535270241338987,-0.012217464737028413,0.000159218,0.4929675257384963
12,SIRPA,-1.995056243936514,-0.0027118435392585686,0.00225548,0.4984389424452121
13,GRINA,-2.4816579879016567,-3.61151305782698e-06,5.77346e-05,0.49999792104596746
14,CRB1,-2.6977498356857224,0.9064386155124494,6.83178e-05,0.8896481395653716
15,MUC4,-2.6469056934434563,0.1377838012096947,6.03996e-05,0.5786560867226245
16,ZNF671,-2.0097897561377827,-0.25068763157249613,0.00153271,0.3595703106934014
17,PARP12,-2.449160526600961,-0.07488541391250561,0.000245758,0.45699898041772613
18,ACLY,-2.027743049469715,-0.31306205898822065,0.000135501,0.32720538767182766
19,ATP2A3,-2.2996213748143823,-0.011715322509901703,0.000170782,0.4932565271759725
20,ITGA3,-2.299809748552624,-0.020018258919510614,8.84209e-05,0.48847860367900975
21,GTF3C5,-2.554097530226904,-0.006103098848383975,0.000141937,0.4964868317087167
22,PHLDA3,-2.0862240422989133,-0.006140121282758242,0.00125834,0.49646552094089
23,LILRB1,-2.1695498769760477,-0.25971795916516593,0.000122001,0.3547961987650025
24,TIPRL,-2.3060197176218913,-0.12507714189765945,0.000121531,0.42849338382881186
25,KCNIP2,-1.9612330428481448,2.987656936555504,0.000711974,0.9989722287178602
26,SDK2,-2.9962650486207414,0.002269368258335052,0.000150696,0.5013063504080547
27,COL4A4,-2.731845682767201,-0.038229050356429324,6.78382e-05,0.4780077883780973
28,COL4A3,-2.6072713363370275,-5.1051953971858034e-05,0.000116667,0.4999706121329879
29,COL4A1,-2.664589431783588,-0.155262726309061,0.000253726,0.4115635142009105
30,GRN,-2.0944979628891307,0.47863457938574683,0.000684562,0.7506527854503426
31,GARS,-2.2606895701796064,-0.45231839489303394,0.000178295,0.2608603643941557
32,RPS6KA1,-2.073864400203947,-0.47635389980630644,0.000196326,0.25033144006623337
33,SFT2D1,-2.558541223425393,-0.00021164751986800861,0.000198924,0.499878165896357
34,ITGAL,-1.575611412627431,3.0980906793981853,0.00088421,0.9992028079364775
35,ITGAM,-1.8360096942312591,-0.2377245517020057,0.00017614,0.36647224810797085
36,FOXC1,-2.6540007653726057,-0.19969007408886708,0.0007758,0.38703246677201675
