,GeneSymb,MeanPval,OR,Pval,Y
0,RNF14,-2.48766747212106,-0.06177997544066993,0.000183065,0.46449643833182686
1,HIF3A,-1.965255184714551,-0.40666809936228787,0.00334502,0.28163054636334833
2,RNF13,-3.2329878784223425,-0.4681096083087283,5.5443e-05,0.253910787475107
3,ZNF708,-2.2040502249730656,-0.03266657480029588,0.000215544,0.48120446871672573
4,CAMK1,-1.8857421041104878,-0.009020094661456935,0.000765409,0.4948078027705114
5,CAMK4,-2.1290335641981564,-0.0005113862901125429,9.23905e-05,0.49970562242191996
6,ZNF704,-3.2214264125873653,-0.08863269905917973,7.6585e-05,0.4491552700548529
7,ZC3H13,-2.393865769137579,-0.00013333804332658686,8.4577e-05,0.4999232444528797
8,SPTLC2,-2.885518151538674,-0.0044602255786882344,0.000140055,0.49743251033467084
9,KDM2B,-2.1886926527878323,-0.3616762812870309,7.47168e-05,0.30305537533867954
10,DIMT1,-2.3697071154117517,-0.13207028940898285,0.000267078,0.4245547589540063
11,TCOF1,-2.278632435673802,-0.03941701501676862,0.000109284,0.477325305421884
12,NSRP1,-1.7535270241338987,-0.01473138704785652,0.000159218,0.4915207449390763
13,SIRPA,-1.995056243936514,-0.06266620130470066,0.00225548,0.46398889485843786
14,GRINA,-2.4816579879016567,-0.2688654024706086,5.77346e-05,0.34998947607216524
15,CRB1,-2.6977498356857224,-0.009313066862235654,6.83178e-05,0.4946391731983131
16,MUC4,-2.6469056934434563,0.6895828351400928,6.03996e-05,0.8303096159934272
17,ZNF671,-2.0097897561377827,-0.2620674588786483,0.00153271,0.3535587566862735
18,PARP12,-2.449160526600961,-0.07161092178154588,0.000245758,0.45887058580778073
19,ACLY,-2.027743049469715,-0.3404390501612668,0.000135501,0.3134821335792559
20,ATP2A3,-2.2996213748143823,-0.01517002674251547,0.000170782,0.49126831843392893
21,ITGA3,-2.299809748552624,-0.02611201335996115,8.84209e-05,0.48497324339957704
22,MFSD11,-1.9167621133436639,-0.5968429985509798,0.00319612,0.20192893942788492
23,GTF3C5,-2.554097530226904,-0.1738149109413977,0.000141937,0.4012586132750427
24,PHLDA3,-2.0862240422989133,-0.35506665843694457,0.00125834,0.3062794709226154
25,LILRB1,-2.1695498769760477,-0.13617380113799085,0.000122001,0.42224803101895647
26,TIPRL,-2.3060197176218913,-0.011536241821974075,0.000121531,0.4933595958404152
27,KCNIP2,-1.9612330428481448,2.8053940751542505,0.000711974,0.9984371163705321
28,DSEL,-2.1693137949209103,-0.6251137556727716,0.00207239,0.19164174691014144
29,SDK2,-2.9962650486207414,0.004255682235702588,0.000150696,0.5024497480167126
30,COL4A4,-2.731845682767201,-0.05673851786488441,6.78382e-05,0.4673850602700851
31,COL4A3,-2.6072713363370275,0.004251735130003112,0.000116667,0.5024474759345188
32,COL4A1,-2.664589431783588,-0.01599566526268805,0.000253726,0.49079319567118584
33,GRN,-2.0944979628891307,0.8107363288441238,0.000684562,0.8660863453011778
34,GARS,-2.2606895701796064,-0.3538857990987651,0.000178295,0.3068574935518694
35,RPS6KA1,-2.073864400203947,-0.23169673677822977,0.000196326,0.3697006008181998
36,SFT2D1,-2.558541223425393,-0.34620904073349784,0.000198924,0.31062997162260253
37,TCIRG1,-2.073249585148674,-0.7388898319841695,0.000456001,0.15428815369059332
38,ITGAL,-1.575611412627431,3.283241538151968,0.00088421,0.9994793662777419
39,ITGAM,-1.8360096942312591,0.2973243150003885,0.00017614,0.6647678344980621
40,CASP4,-2.233943467478195,-0.0031266898103289903,0.000251939,0.4982001404373205
