,GeneSymb,MeanPval,OR,Pval,Y
0,RNF14,-2.48766747212106,-0.06243386782057831,0.000183065,0.46412194557690084
1,PGM2L1,-1.9057216752359307,-0.2434264511331587,0.000212053,0.3634294365621261
2,NCBP2,-2.1795381040665895,-0.17783229116263374,0.00048748,0.3990382569405358
3,RNF13,-3.2329878784223425,-0.004737639470906468,5.5443e-05,0.49727282253955896
4,LAPTM5,-2.1576166906790797,-0.1029630140683649,0.000440531,0.4410057923132894
5,LIFR,-2.5324582283425694,-0.04820819148409477,0.000126293,0.4722775941443633
6,ZNF708,-2.2040502249730656,-0.0024089522965863187,0.000215544,0.4986132991434417
7,CAMK1,-1.8857421041104878,-0.009034683099202129,0.000765409,0.4947994058977362
8,ZNF707,-2.216355930906935,-0.4296949437122744,0.000149424,0.2710287930519356
9,CAMK4,-2.1290335641981564,0.009144852556433642,9.23905e-05,0.5052640057948212
10,ZNF704,-3.2214264125873653,-0.08859426108825451,7.6585e-05,0.4491771680217673
11,ZC3H13,-2.393865769137579,-6.06083739860529e-05,8.4577e-05,0.4999651110154439
12,SPTLC2,-2.885518151538674,0.051925000443331905,0.000140055,0.5298548768227256
13,ZC3H18,-2.381950980845988,-0.04172142748444434,0.000170727,0.47600166942141653
14,KDM2B,-2.1886926527878323,-0.4103322291043906,7.47168e-05,0.27992677161499535
15,C2CD2,-2.382952392553425,-0.26052363706815884,0.000240276,0.3543716418482948
16,DIMT1,-2.3697071154117517,-0.13178418086267005,0.000267078,0.4247157144482409
17,TCOF1,-2.278632435673802,0.02851883694274506,0.000109284,0.5164108654356878
18,NSRP1,-1.7535270241338987,0.02535518314980725,0.000159218,0.5145914723219253
19,GRINA,-2.4816579879016567,-0.27125118753832966,5.77346e-05,0.3487407604594909
20,CRB1,-2.6977498356857224,1.2826474027952015,6.83178e-05,0.9504241618079008
21,MUC4,-2.6469056934434563,-0.15500406006207848,6.03996e-05,0.4117077638528517
22,HIPK3,-2.009853991340821,0.00040931626294598173,0.00016433,0.5002356213639034
23,SNRNP70,-1.957513304722339,-0.34326725357785,0.000976033,0.31208234564400494
24,CLEC2B,-2.277820346449973,-0.41114379393849093,0.0005378,0.2795502574533002
25,PARP12,-2.449160526600961,0.048341700077559835,0.000245758,0.5277990226682381
26,PARP10,-2.3371973748591417,-0.18752324307685747,0.000390099,0.39369940110808116
27,ERI1,-2.263833720690152,-0.4394392005460915,0.000469507,0.2666187112148255
28,SPPL2A,-2.496900578682454,-0.08437391796865708,6.89766e-05,0.4515826614773096
29,ACLY,-2.027743049469715,-0.344236828660827,0.000135501,0.3116032519561237
30,PPP1R14A,-2.0966386115401137,-0.44525435967842886,0.000867021,0.26400873685478876
31,ITGA3,-2.299809748552624,-0.026098129784509285,8.84209e-05,0.4849812282133711
32,ITGA6,-2.9702545012376937,-0.2911022942117822,6.13136e-05,0.338432399844071
33,MGST2,-1.7832064145842343,0.31310589288394597,0.0123719,0.6728168311555754
34,MGST1,-2.262623704353339,-0.0001069235161260439,0.000210914,0.4999384498767303
35,GTF3C6,-2.503162926195022,-0.11849776764058997,0.000138161,0.43220726557852707
36,SEMA4B,-2.1580735711652808,-0.024480951794114712,0.000260084,0.4859113617113538
37,PHLDA3,-2.0862240422989133,-0.37669187280409705,0.00125834,0.29580286738868267
38,LILRB1,-2.1695498769760477,-0.00044042932259099894,0.000122001,0.49974646852354987
39,FARP1,-2.3307750727583416,-0.010022190717814981,0.000351004,0.4942310192816156
40,TIPRL,-2.3060197176218913,-0.012187827624068694,0.000121531,0.4929845828653464
41,KCNIP2,-1.9612330428481448,0.033286171297559196,0.000711974,0.519151686083258
42,COL4A4,-2.731845682767201,1.3075212978252713,6.78382e-05,0.9530542455856552
43,COL4A3,-2.6072713363370275,0.0037780114552548134,0.000116667,0.5021747844996168
44,COL4A1,-2.664589431783588,-0.014303320754788226,0.000253726,0.4917670908776292
45,GRN,-2.0944979628891307,-0.0026902993974653915,0.000684562,0.4984513441302156
46,AMFR,-2.397360129553817,-0.04572368554958698,0.000111635,0.4737036163896413
47,GARS,-2.2606895701796064,-0.3667400534366324,0.000178295,0.30059835325084305
48,ITGAX,-1.625360286780593,-2.890257303644662e-05,0.00155694,0.49998336234155044
49,RPS6KA1,-2.073864400203947,-0.09794793825611992,0.000196326,0.44385442153248916
50,SFT2D1,-2.558541223425393,-0.3546723584183343,0.000198924,0.3064724104818308
51,TOP1,-2.0558947716535196,-1.4654066529796064e-05,0.000255404,0.499991564441215
52,TCIRG1,-2.073249585148674,-0.4868287162849702,0.000456001,0.2458324141990623
53,ITGAL,-1.575611412627431,0.0002689142907978712,0.00088421,0.5001547995043751
54,ITGAM,-1.8360096942312591,0.31008597456608505,0.00017614,0.6712842653155865
55,SIGIRR,-1.8489802704236074,0.10400070937574335,0.00223637,0.5595831540204719
56,FOXC1,-2.6540007653726057,-0.18007453264591702,0.0007758,0.3978007941566237
57,SMAD2,-2.731522721779463,-0.0807909829381269,0.000112358,0.4536266295328487
58,PNP,-2.1655709442921878,-0.004797210477889914,0.00152182,0.497238531744458
59,SC5D,-2.172646846648187,-0.10681395868059353,0.000755263,0.43882102799499256
60,PELI1,-2.037519903852544,-0.1053309252604037,0.000195519,0.43966212437565094
61,GDAP1,-2.4778135967333146,0.00015482220356982407,0.00030267,0.5000891228235572
62,ARF5,-2.22548619290735,-0.011780883300609573,0.00127035,0.4932187942544012
63,GALNT3,-2.3861779284662266,-0.12811269107721082,0.000255192,0.4267825825341229
64,ERICH3,-2.676163366268071,-0.4806738480168384,0.000186352,0.2484693609299519
65,DBNDD2,-2.0021213670129607,-0.2209433330603488,0.00133997,0.37548875187869823
66,DBNDD1,-1.7273867243492953,-0.27898892737096104,0.000369411,0.3447051788689769
67,CHTF18,-1.9408822877877638,-0.5256321596967969,0.00181095,0.22964571364378888
68,OLIG2,-2.326751985087919,-0.06633577497540091,0.000393332,0.4618881274784985
69,PIPOX,-1.7364729355535438,-0.19000612890844643,0.000876071,0.39233557136969577
70,FGL2,-2.1428206332925224,0.002502063606172647,0.00199312,0.5014402996065066
71,METTL22,-2.1715112055194012,0.2504075921656317,0.00066622,0.6402811882879687
72,ATP1A3,-1.994582320224167,-0.0002807272269997862,0.00110551,0.49983840042360494
73,IPO13,-2.126778237676008,0.010496200665493552,0.00040523,0.5060418047086763
74,EEF1A1,-2.0894509021192875,-0.0014551950116263835,0.000483626,0.4991623231984419
