,GeneSymb,MeanPval,OR,Pval,Y
0,RNF14,-2.48766747212106,-0.34812405064569507,0.000183065,0.3096865207892506
1,HIF3A,-1.965255184714551,-0.29762098183828306,0.00334502,0.335079952596458
2,NCBP2,-2.1795381040665895,-0.4413222326817804,0.00048748,0.2657717686717966
3,RNF13,-3.2329878784223425,0.0153536724699831,5.5443e-05,0.5088373639131056
4,LAPTM5,-2.1576166906790797,-0.37884743496276035,0.000440531,0.2947700297785959
5,LIFR,-2.5324582283425694,-0.3372030905329481,0.000126293,0.31508791117228035
6,ZNF708,-2.2040502249730656,0.27662717373614265,0.000215544,0.6540653999898269
7,CAMK1,-1.8857421041104878,-0.307795510375952,0.000765409,0.32988055153804235
8,ZNF707,-2.216355930906935,-0.656066382950044,0.000149424,0.18084267968544257
9,CAMK4,-2.1290335641981564,-0.29417188530633165,9.23905e-05,0.3368517163917128
10,ZNF704,-3.2214264125873653,-0.3691213348915772,7.6585e-05,0.29944685307891755
11,ZC3H13,-2.393865769137579,-0.30107337780888493,8.4577e-05,0.3333111356850969
12,SPTLC2,-2.885518151538674,-0.26266336696284165,0.000140055,0.35324521282966687
13,ZC3H18,-2.381950980845988,-0.3305004067630052,0.000170727,0.318428042368019
14,KDM2B,-2.1886926527878323,-0.6045895101964384,7.47168e-05,0.19906971894740613
15,C2CD2,-2.382952392553425,-0.50922338390636,0.000240276,0.23639794818788099
16,DIMT1,-2.3697071154117517,-0.40262709355664317,0.000267078,0.283516855933162
17,TCOF1,-2.278632435673802,-0.2789193697943143,0.000109284,0.3447413577788563
18,NSRP1,-1.7535270241338987,-0.2805122532013043,0.000159218,0.3439133048507918
19,SIRPA,-1.995056243936514,-0.3487558068855634,0.00225548,0.30937562589216633
20,GRINA,-2.4816579879016567,-0.5140353749172832,5.77346e-05,0.23440369519030235
21,CRB1,-2.6977498356857224,0.23947744946442476,6.83178e-05,0.6344643309119535
22,MUC4,-2.6469056934434563,0.09763441557057369,6.03996e-05,0.5559673687905469
23,HIPK3,-2.009853991340821,-0.3007275652953745,0.00016433,0.3334881005470898
24,ZNF671,-2.0097897561377827,-0.46355797340851285,0.00153271,0.255901335179983
25,SNRNP70,-1.957513304722339,-0.5837254432945571,0.000976033,0.20684031418142212
26,CLEC2B,-2.277820346449973,-0.6404127940357688,0.0005378,0.18624369262442628
27,PARP12,-2.449160526600961,-0.25200712208804066,0.000245758,0.3588709654042592
28,PARP10,-2.3371973748591417,-0.44857320898363806,0.000390099,0.26252652747767674
29,ERI1,-2.263833720690152,-0.671255327371305,0.000469507,0.17571941317264547
30,SPPL2A,-2.496900578682454,-0.3658729436983112,6.89766e-05,0.3010182821788037
31,ACLY,-2.027743049469715,-0.5779041886668662,0.000135501,0.20904797066340333
32,PPP1R14A,-2.0966386115401137,-0.6555695492285692,0.000867021,0.18101221241469778
33,ATP2A3,-2.2996213748143823,-0.26552281618059675,0.000170782,0.35174244111836533
34,ITGA3,-2.299809748552624,-0.32075189000247106,8.84209e-05,0.32331943603417634
35,ITGA6,-2.9702545012376937,-0.5257259733619286,6.13136e-05,0.22960750115931317
36,MGST2,-1.7832064145842343,-0.08573252181419028,0.0123719,0.4508080376802394
37,MGST1,-2.262623704353339,-0.30103439632618256,0.000210914,0.3333310815817619
38,GTF3C6,-2.503162926195022,-0.39263187617695955,0.000138161,0.2882151774520856
39,GTF3C5,-2.554097530226904,-0.39332007597959895,0.000141937,0.2878902024268704
