,GeneSymb,MeanPval,OR,Pval,Y
0,IL17RA,-1.7532901628841973,0.4331738427374888,0.0123698,0.7305509453008296
1,LAT2,-2.151690150992176,1.264645758896072,0.000773109,0.9484342352189399
2,CLMN,-2.9133109383072964,0.015665826721590243,4.53875e-05,0.5090169970613934
3,CPE,-2.8670781472384714,0.14970207144569617,0.000219452,0.5853321821701579
4,LRFN5,-2.869313549771611,0.21434385823497099,0.000130411,0.6209411810416126
5,ANKIB1,-2.106695354472322,0.1440037122564051,6.80107e-05,0.5821439603337278
6,DAP,-3.2603058405277268,0.026244357642125394,3.58637e-05,0.5151028709341365
7,SLC30A3,-1.9123082975487786,0.025117441913159604,0.000245113,0.5144547329278921
8,LTBR,-2.2328981824713123,0.21128903123286136,0.000902476,0.6192841631512188
9,TYROBP,-2.0852897576673453,2.120354659541226,0.000574485,0.992477434435294
10,MAP3K1,-2.5492522834892704,0.033354109066621764,6.57129e-05,0.5191907367123407
11,DSC2,-2.2819128518504743,0.13979587200980895,0.000551481,0.5797852511503955
12,NTRK2,-2.678795294681548,0.08132610656027808,0.000117018,0.5466787451346625
13,ARHGEF1,-2.141227284499913,0.010432866520400489,0.000502788,0.5060053519354044
14,DENND3,-2.777702392114502,0.15320929213838366,0.000411467,0.5872909365617797
15,HLA-DPA1,-2.8239248994222548,0.44994314800315616,5.38983e-05,0.738083726978319
16,ARHGAP27,-2.200578279047292,0.22416538983970738,0.000291326,0.6262493814506829
17,LSR,-2.145202118311554,0.10368174312202655,0.000376923,0.5594021417706029
18,BLNK,-1.8624239199211412,0.021720726367378144,0.000269318,0.5125008495106542
19,LIPA,-1.9939286181178613,0.25466870187414564,0.000334897,0.6425378760576749
20,SOD3,-2.4091901166213927,0.08016080374613274,0.00146052,0.5460137064741125
21,TESPA1,-2.26537210192289,0.0027633238940007387,4.74333e-05,0.5015906917347573
22,ALOX5,-1.7145063139271717,0.1446246619628363,0.00569212,0.5824917191240011
23,HLA-DRB1,-2.3684298176564007,1.1770538348379573,9.26102e-05,0.937629742067074
24,HLA-DRB5,-1.615492418321886,0.1205137516538992,0.000229532,0.5689315338474518
25,DLEC1,-2.5202221424895614,0.030458201681615657,6.41144e-05,0.5175259673014531
26,CTSZ,-2.175421268461815,0.2671907328213021,0.000397434,0.6491327736729684
27,TMEM176B,-1.8624633372942663,0.06219718956804145,0.00240728,0.5357425103288731
28,SLC15A3,-2.145914727633879,0.013965495991718967,0.000483857,0.5080384930458982
29,CTSS,-1.4539845205372988,0.40125237239906386,0.00278569,0.7158396974669884
30,RPL19,-2.2797964205844763,0.07457254047174308,0.000472146,0.5428222417370635
31,UBR5,-2.8452567440988923,0.2049126040726201,7.6352e-05,0.6158164955022866
32,CXCL16,-2.268109526081159,0.7036403013359469,0.000465074,0.8348215615673771
33,BMP7,-2.749232703377568,0.0837961831717952,0.000153848,0.5480878649696413
34,MOB3B,-2.5083847786099036,0.013536264445432294,0.000387692,0.5077914694275485
35,XAF1,-2.1348344472083363,0.2833389506658448,0.000279517,0.6575538052556651
36,KCTD17,-2.1348824943063063,0.015017505700537979,0.00127524,0.5086439099041393
37,PLCB2,-2.247729870103466,0.006008186482731109,0.000411161,0.5034585349973254
38,APP,-2.3384467937133615,0.06316906280056937,0.000821557,0.5362990619084085
39,PARP12,-2.449160526600961,0.02378133342192638,0.000245758,0.5136862162869533
40,CD2AP,-3.2186024244350477,0.31122495727232546,8.74043e-05,0.6718627135295756
41,UBTD2,-2.6511362694151477,0.002016192319247804,4.31696e-05,0.5011606115102327
42,SYK,-2.7879113607265418,0.036519487837197134,5.72821e-05,0.5210099284357935
