,GeneSymb,MeanPval,OR,Pval,Y
0,IL17RA,-1.7532901628841973,1.723243941625654,0.0123698,0.981438244998568
1,FRYL,-2.5251877263035687,0.3079584043510633,0.000106014,0.6702023575100686
2,ADAM23,-2.9150056375679574,0.26977461182421236,0.000169941,0.6504866461251733
3,LAT2,-2.151690150992176,3.3563298727922066,0.000773109,0.9995599733460625
4,TGDS,-2.59852094774145,0.01707287920149441,0.000611326,0.5098266737950812
5,PPP2R3A,-3.2065987446614894,0.0617854154866566,1.92492e-05,0.535506677419714
6,SSFA2,-2.7076515758900173,0.22659354288615466,0.000145452,0.627557097339108
7,CDR2L,-1.9649546726217813,0.18395908209129203,0.00194194,0.6043399386145618
8,CD37,-2.4537966991837648,0.0002753120594968674,5.64817e-05,0.5001584823557224
9,SNAP91,-2.904658769592166,0.28606246378067407,0.000111205,0.6589645176752689
10,ESYT2,-3.0650827296149625,0.0007752441882845284,5.9443e-05,0.5004462663093427
11,PKP1,-2.3453012765822776,0.13208794096866475,6.03311e-05,0.575455170723836
12,USP28,-2.2355568987054526,0.8987046853934499,9.69601e-05,0.8878876789048205
13,ANKIB1,-2.106695354472322,0.8317404833548985,6.80107e-05,0.8715969812611585
14,DBN1,-2.1433870713365826,0.03650850971086153,0.000521775,0.5210036200731034
15,APLP2,-2.4971298532958155,0.5663576920614155,5.83508e-05,0.7865219777980323
16,RASAL2,-2.9630264925251106,0.17587144764253512,4.18262e-05,0.5998785215781882
17,SLC30A3,-1.9123082975487786,0.007670926529114643,0.000245113,0.5044156254704707
18,ADAMTS4,-1.9807813379379513,1.0787820793032408,0.000630765,0.9230116350622349
19,ALS2CL,-2.0888018572564397,0.14051936678722643,0.000267367,0.580191069539985
20,TGFBRAP1,-2.2461460010377126,1.1089745623957954,0.000106662,0.927808851816804
21,TYROBP,-2.0852897576673453,1.8403111307014934,0.000574485,0.9857616136955304
22,DSC2,-2.2819128518504743,0.1951753745736622,0.000551481,0.6104984495557079
23,PLEKHH2,-2.8207904140123605,0.000196219426036091,6.96096e-05,0.5001129529794152
24,NTRK2,-2.678795294681548,0.6548379918209001,0.000117018,0.8187379356480267
25,APBB3,-1.9411244172761046,0.013578767216380124,0.00170747,0.5078159300294103
26,DENND3,-2.777702392114502,0.4312882582604256,0.000411467,0.729695439197163
27,HLA-DPA1,-2.8239248994222548,3.556819123226129,5.38983e-05,0.999722629416874
28,EIF5B,-1.8528862844530194,0.004444316421370937,0.000352825,0.5025583318588281
29,ARHGAP27,-2.200578279047292,0.897805046625192,0.000291326,0.8876813100434419
30,B3GNT5,-2.1904765618563538,1.6037333872537465e-05,0.000731035,0.5000092318314755
31,GOLGA7,-2.2878064632304724,0.22704452720808502,0.000375652,0.6277997765196528
32,CDH1,-2.6672973252899386,0.810432390614821,0.000161421,0.8660051560873282
33,C3orf14,-2.1479647994601265,0.000714195752314193,0.00122783,0.500411124030537
34,GABRG3,-2.433195423115197,0.024011412714179198,0.000302093,0.5138185603775243
35,PYGL,-2.1031828004585944,0.0017531302693725612,0.00027518,0.5010091815356824
36,BLNK,-1.8624239199211412,0.006546770876101212,0.000269318,0.5037685528929352
37,LIPA,-1.9939286181178613,1.1642696024993386,0.000334897,0.9358859343303414
38,HLA-DPB1,-2.8997312692684623,0.00022371849988041923,5.04746e-05,0.5001287827178651
39,LYN,-2.867250862831351,0.02915922206783383,0.000105803,0.5167790946507829
40,LIPE,-2.1483357950649804,0.001711033732242153,0.00067048,0.5009849489173341
41,VRK2,-2.6314281447241283,0.10726508304970676,0.000174326,0.5614347558777384
42,NSMF,-2.3165767978655274,0.011726357698737781,0.00037268,0.5067498240327862
43,PCSK6,-2.4539024392877,0.2699536239771063,0.000201341,0.6505803534239353
44,ALOX5,-1.7145063139271717,0.9213693561749207,0.00569212,0.8929783651620058
45,HLA-DRB1,-2.3684298176564007,1.0560795293652014,9.26102e-05,0.9192138297571562
46,LRRC1,-3.3121089503061034,0.0007892013054064256,8.04137e-05,0.5004543006652831
47,MUC4,-2.6469056934434563,0.64238488873474,6.03996e-05,0.8144435345655906
48,DLEC1,-2.5202221424895614,0.076155998751057,6.41144e-05,0.5437269254231675
49,CLMN,-2.9133109383072964,0.054345005181574986,4.53875e-05,0.5312427424184122
50,COL4A3,-2.6072713363370275,0.002757517443771715,0.000116667,0.5015873493070809
51,COL23A1,-2.7075435226485647,0.04827267168163054,0.000239019,0.5277594093838811
52,SLC15A2,-2.255982742648841,0.09991760583427907,4.06138e-05,0.5572648265164145
53,PATZ1,-1.816904852847685,4.174133522085051e-07,0.00120432,0.5000002402824406
54,GPATCH4,-2.3655786518069024,0.0018973925138073802,0.000370475,0.5010922251921559
55,CTSS,-1.4539845205372988,4.7575278162235355,0.00278569,0.9999825230922612
56,NLK,-1.7133715558653908,0.376590269159768,0.00253376,0.7041483974562976
57,PDE8B,-3.0485724564958203,0.16483742095228804,0.000135006,0.5937650916470324
58,CXCL16,-2.268109526081159,0.7290903185319294,0.000465074,0.8427445718530309
59,SDE2,-2.0314053887367063,7.038823335063533e-05,0.000943965,0.5000405187241201
60,ADCY7,-1.9180103277368337,0.289376189650474,0.00070225,0.6606771546419034
61,KCTD17,-2.1348824943063063,1.1806689049085302,0.00127524,0.9381147620558101
62,OLFM2,-2.1270287010206763,0.12363138248639133,7.58309e-05,0.5706911985500809
63,PLCB2,-2.247729870103466,0.005569280896719129,0.000411161,0.503205891859345
64,ARPC1B,-2.1112432075636707,0.263214339039599,0.000206561,0.647044575109621
65,APP,-2.3384467937133615,0.30974761202326134,0.000821557,0.6711123229618932
66,OMD,-1.8897965337504903,0.10980805878820522,0.00135405,0.5628759881278989
67,STXBP3,-1.9782487092499585,0.19992355369866718,9.5814e-05,0.6130950663913759
68,RFX2,-2.1002191202573663,0.9275256455415527,0.00017357,0.8943255507391356
69,SYT7,-2.164905407752862,0.045049295560143233,0.000293113,0.525909231583784
70,TLR2,-2.5208523510514365,0.18474187408770884,0.000395535,0.6047708458526428
71,ANGPTL2,-2.1850553355199827,0.6548183869406546,0.00027632,0.8187312362162843
72,ARHGAP10,-2.982499780373151,0.002605385782051893,0.000130392,0.5014997761178032
73,FKBP1A,-1.8887095735053945,0.17033531320114537,0.00398768,0.5968149720992331
74,C1QL2,-2.456243352315862,0.013100688845343112,0.00123276,0.5075407909048113
75,TRIM59,-2.1254553182297307,3.723282320065156,0.000826909,0.9998109243693347
76,SLC2A5,-2.245667253740031,1.6856530364267357,0.000183674,0.9797939366106773
77,RASGRP2,-2.2758217801636142,0.0818046277146958,0.000405655,0.5469517891874263
78,NFATC2,-2.8726409590547592,2.8425324920459616,0.000107002,0.9985650265712971
79,TRIM38,-1.6462171904882243,2.642910099246759,0.000982609,0.9977295980209819
80,LRFN5,-2.869313549771611,1.3435402964909349,0.000130411,0.9566286360089435
81,RASD1,-2.1716198007281826,0.02481384296475987,0.00188217,0.5142801116289025
82,AKNA,-2.4838213219613148,1.4080385248642073,0.000104178,0.9623892296177652
83,DOCK2,-2.0701838469494995,0.921980326156441,0.00024306,0.8931127369129093
84,PTOV1,-2.0960776044775735,0.1051683676688276,0.000995434,0.5602456605795386
85,DCLK1,-2.575975988319697,0.02410821486837632,0.000199143,0.5138742414426771
86,MED24,-1.99947961449708,0.003747500806242477,0.000196714,0.5021572214878188
87,HIF1A,-2.326356816216095,0.0006577573387594635,0.000151845,0.5003786354883814
88,SEC63,-2.913832754708523,0.13778243258022713,5.09373e-05,0.5786553183729122
89,NFKBIZ,-1.8306176402403338,3.0244660035626984e-05,0.00135884,0.5000174102258281
90,LRRC49,-2.3787992885659373,0.1793380051351349,8.555e-05,0.6017928695064738
91,GREM1,-2.3933049741469588,0.20542773423481175,0.000317514,0.6160970795607628
92,DNM1,-2.042542957297419,0.7131617878034195,0.000253134,0.8378226157271287
93,RBBP5,-2.116942770511775,0.00011743331025468835,0.00027201,0.5000676000469915
94,SLC15A3,-2.145914727633879,0.11252320843187437,0.000483857,0.5644136284067595
95,TMUB1,-1.9303683280185493,0.06367422131877751,0.000681131,0.5365883096627009
96,UNC93B1,-2.26737643004843,0.701809747805994,0.000184096,0.834239514864803
97,TST,-2.182938241886121,0.0010925315766810043,0.000394466,0.5006289113988517
98,CD2AP,-3.2186024244350477,0.4479316908060138,8.74043e-05,0.7371873865629868
99,TMEM132A,-2.4606948769230677,0.5895698466880471,0.000136946,0.7953587362680788
100,IFIT2,-2.0559744911162228,2.025478842522515,0.00163598,0.9906578924801289
101,SUCO,-2.17775934526668,0.6500624286450123,0.000228491,0.8171003178329148
102,TGFA,-2.861476555255569,0.739057478565014,0.000109649,0.8457622088263169
103,UBTD2,-2.6511362694151477,0.7700297469722053,4.31696e-05,0.8548376772900529
104,THEM5,-1.8629881725896407,0.02155256044944061,0.00164084,0.5124041054703985
105,APOE,-2.152601255360955,0.5325776471758501,0.000889833,0.7731712702086231
106,SCD,-2.169566314933775,0.028740219861437873,0.000797461,0.5165381653352136
107,THBS4,-2.649899383861756,0.24180187071187845,8.23215e-05,0.6357047088224539
108,NCSTN,-2.0522390683830225,0.29792687948304686,0.00125734,0.665076960513739
109,BICC1,-2.385354553152826,1.4557505444420313,0.000947011,0.9661699242798554
110,HTR2A,-2.1559804567809597,0.2662782783602973,0.000141171,0.6486541004142798
111,SYT17,-2.1954355950488056,0.24405632727872215,0.000128267,0.63690603167964
112,FNDC3B,-2.9349937317995254,0.000722320235766821,0.00010192,0.5004158008559605
113,PSME4,-1.0544958430569549,0.07868843473582059,0.0108423,0.5451731904817387
114,KCNIP2,-1.9612330428481448,2.985371676939344,0.000711974,0.998966811929054
115,SIRT2,-1.9713891982018572,0.5595104635248989,0.001314,0.7838627727019143
116,TMEM98,-2.230172711780479,0.9315483498402641,0.000252489,0.8951977444907561
117,FAM102A,-2.0508282447785953,0.39113003855396955,0.000103693,0.7110748819881403
118,LNX1,-2.682684327370488,0.10160504013428386,0.00028773,0.5582232358920577
119,SDK2,-2.9962650486207414,0.002225902442383638,0.000150696,0.5012813296406362
120,UNC5C,-1.9852515486149862,0.4743541345299759,0.000211376,0.7488034362440165
121,ATP8B4,-2.840332660318804,5.91920130085053e-05,0.000164915,0.5000340736616417
122,NHSL1,-2.748221348985752,0.04794639590351862,5.51945e-05,0.5275721649751959
123,NCAPD2,-2.217735908815246,1.6600957598454364,0.000203333,0.9785953858299596
124,ASIC2,-2.4437672101370236,1.2054239095663328,0.000165261,0.9413424735627345
125,POLR2E,-1.8623165402567476,0.0002546458208089778,0.00315002,0.5001465859135473
126,NETO1,-2.8277660681137426,2.0120933482661476,0.000171593,0.9903682904342016
127,NFASC,-2.968244263155579,0.4897785640376576,9.70289e-05,0.7554246907120743
128,CPEB2,-2.7235517871466883,0.23136928343202356,0.000125739,0.6301236858072081
129,PTPDC1,-2.3921734428365067,0.08594656870151259,0.000189467,0.5493139820022429
130,PTPN3,-2.7484125220491595,0.4988569863377983,5.59344e-05,0.7592661960570658
131,LAMC3,-2.992519406638036,1.6327490627663084,0.000127223,0.9772359068924792
132,GIMAP2,-1.7901044336439955,1.620670697822633,0.00360648,0.9766089350142214
133,ASPA,-1.990628981984076,0.2377065934626987,0.00048186,0.6335181515086248
134,ATG4C,-2.678553532766566,0.27424767400579386,8.29146e-05,0.6528246559658343
135,AMPH,-2.4623683013338704,0.12911878467590338,0.000143266,0.573784056238664
136,LRIG3,-2.2331454536088278,0.0008369309092514895,0.00114488,0.5004817760097782
137,MTHFD2,-2.3010328953619825,1.7118957371604622,0.000505164,0.9809561884957234
138,SEMA5A,-2.7741927232942354,2.9939904684445964e-05,0.000435768,0.5000172347945462
139,SCARB2,-2.066989077046337,0.07985527891454589,9.44639e-05,0.5458393160922401
140,CDC27,-2.039665331504236,0.07024007016165515,0.000380138,0.5403455270789516
141,HMOX1,-2.415361327695324,3.066331039995884,0.000130525,0.9991423771584136
142,CD93,-2.1625709641631916,0.00029684093799293564,0.00101958,0.5001708753730508
143,ERMP1,-2.4659015555427337,0.6387483637678015,0.000141804,0.8131747678435297
144,MEF2C,-2.690984844013703,0.6183718924735119,0.000296842,0.8059418757201746
145,PFN1,-1.952067043984571,0.10024720934090012,0.00141543,0.5574520646379358
146,RHBDF2,-1.9930601488653514,3.785754154231548,0.000545442,0.9998362524822266
147,WDFY4,-2.8431692028247126,0.778548056510094,0.00012215,0.8572546998071703
148,ITGAL,-1.575611412627431,3.0968191927716293,0.00088421,0.9992004724412676
149,ITGAM,-1.8360096942312591,0.12695652583687572,0.00017614,0.5725660199989299
150,SLCO2B1,-1.9936908106433484,6.266527618789176,0.000505237,0.9999994586574728
151,SORT1,-2.0366631382727243,0.022534333122401967,0.000231159,0.5129688953506352
152,HAVCR2,-2.087585270787879,0.08368358533273837,0.000350157,0.5480236471809619
153,TTC38,-2.351502896903838,0.07535205174502956,6.05548e-05,0.5432676387717679
154,TBC1D2,-2.0436174421226885,0.5100416410920752,0.000125607,0.7639419904554703
155,CDKAL1,-2.5250973501574485,0.16880228656634397,0.000274025,0.5959652880035442
156,CD74,-2.117128489661213,3.399082198219893,0.00058452,0.9996012097104359
157,TMEM130,-2.2251835313633563,0.7088521269287127,0.000454425,0.8364697461599444
158,MFNG,-2.115254976719676,0.05036422769653115,0.000996686,0.5289595319210338
159,MYO1F,-2.046726052845778,0.6215924876523636,0.00023068,0.8070990564518798
160,TP53BP2,-2.2118934665049106,1.1911429060635814,0.000163107,0.9395001958303129
161,DSN1,-1.5626429122236947,0.0005490047470690111,0.00436938,0.5003160324945604
162,MOB3B,-2.5083847786099036,2.0610265162643033,0.000387692,0.9913857758718372
163,GRN,-2.0944979628891307,0.478658925044385,0.000684562,0.7506632778478638
164,NDUFAF7,-2.0799955839120816,0.03928263903316396,0.000306359,0.5225975000846775
165,PTAFR,-2.0324089456630343,0.39887277968819257,0.00189743,0.7147238358717067
166,TREM2,-2.3396539148957864,2.318379276019047,0.000532112,0.9952187738738235
167,CYFIP1,-3.0279708215293755,1.5724742574526367,0.000937625,0.9739351176936675
168,LIMD1,-2.9999224780769698,1.2624226717283211,0.00010783,0.9481833136642503
169,RNASET2,-2.39363291452687,0.0011932637373860534,0.000654571,0.5006868973912985
170,CD9,-2.512105040460815,0.19630477149236808,0.00022528,0.6111166524300051
171,SORL1,-3.044614145348916,0.038503531714742426,9.86102e-05,0.5221499079162232
172,NAV1,-2.91201145134661,0.002232328434654941,0.000149628,0.5012850287147761
173,SPI1,-1.6614133954214294,5.686452716585844,0.000213152,0.9999979415212435
174,DEF6,-2.0777942818865416,4.465591068049953,0.000310045,0.9999657710114422
175,GDAP1,-2.4778135967333146,5.30054759113855e-06,0.00030267,0.500003051240467
176,PSEN2,-2.2438421718276214,0.28644080981063075,0.000266522,0.6591602697167652
177,PSEN1,-2.3875075305866162,0.9601933558147412,0.000143408,0.9012264683348536
178,FAT4,-2.8513197575635774,0.00033485933005622515,9.12116e-05,0.5001927605158596
179,AFMID,-1.9293800242740016,0.8693479452826053,0.000508987,0.8809804447329326
180,P2RY12,-1.9698794317716137,0.5589492250637409,0.000136572,0.7836437485473767
181,HBEGF,-2.082655630349114,0.01755089035998467,0.000786693,0.5101017298505731
182,CIB1,-2.242668189885942,0.0027580696587618265,9.26989e-05,0.5015876671843775
183,PRIMA1,-2.1921170168100197,0.004237437180265142,0.000250883,0.5024392455695834
184,TMEM206,-2.181907164366135,0.5335545537236643,0.000171864,0.773565523669274
185,SLC7A7,-2.0514509857303733,5.189860052412099,0.000438309,0.9999935414185238
186,NMNAT2,-2.7089876855913966,0.003707954649286339,9.7874e-05,0.5021344573092396
187,AP3D1,-2.1037771951575435,0.00013538382592294076,0.00162107,0.5000779331942196
188,BCL7C,-1.8522444042728012,0.0028641645925646052,0.000382438,0.5016487396978554
189,PARVG,-2.1406335146107054,4.328307595142945,0.000178125,0.9999530460630398
190,KIF16B,-2.3266085747055816,0.010558852895560364,0.000214548,0.5060778649338749
191,HLA-DQB1,-2.3367298014557853,0.6639602928887125,0.000104066,0.8218343432926397
192,EHBP1L1,-1.925091616565394,0.013593348327942791,0.00200139,0.5078243215387289
193,FAM214A,-2.4580513465965863,0.5065861385337598,5.61577e-05,0.7625041299809354
194,DAB2IP,-2.6806929745731214,5.46353873238842e-05,0.00030594,0.500031450657059
195,RAB6A,-2.059554116771614,0.7837343620774162,0.000213075,0.8587097951563673
196,FERMT2,-2.12788073071876,0.1419458353008695,0.000182841,0.5809908776913844
197,FERMT3,-2.1036280465822523,0.08069056607660097,0.00113196,0.5463160624934912
198,UNC13D,-2.100806482222441,0.050580704862595804,0.000816191,0.5290837263663128
199,AOAH,-2.6579286830564737,1.9514755939372468,9.82166e-05,0.9889415305748905
200,CELF1,-1.336304852782271,0.14021601185945923,0.000467337,0.5800209266658332
201,SLCO1A2,-2.117429380664595,0.018044295322256234,0.0002194,0.5103856373554955
202,CLU,-2.339210415241572,0.6737396145346004,0.000475619,0.8251075882525309
203,GAB1,-2.2791802206812717,0.15830342550120421,0.000154479,0.5901310382225443
204,CSF3R,-1.9128731267669417,0.0034617098453913154,0.00207339,0.5019927098210182
205,PROX1,-2.3610819282689057,0.2036522188274826,0.000210138,0.6151296568555571
206,CNTN2,-2.1389919288703485,0.00013291959650384025,0.000250122,0.5000765146697719
207,ZNRF3,-2.6366981684926887,0.029269191413270168,8.16594e-05,0.5168423265363595
208,IRF5,-1.9316112947520685,0.7387902698167506,0.000530721,0.8456819305903225
209,SCARF1,-2.260234459381045,0.5942879168784054,0.000675539,0.7971212836512995
210,C14orf93,-2.0604344184061896,0.06269369648006887,0.00140334,0.5360268505005288
211,TCF20,-1.7059812920888022,0.0031519181969443142,0.000113662,0.5018143819997083
212,TLR5,-2.247660521655796,2.1984164226670733,0.00109773,0.9937072275756998
213,CCDC113,-2.2845196564238215,0.04906957968704403,9.13183e-05,0.5282167091020568
214,RIN3,-2.6477848513676574,1.6185345698166247,9.90865e-05,0.9764963107240596
215,ABCA7,-1.861711373040803,0.17029040684658817,0.0036076,0.5967900908636694
216,CTGF,-2.35416305318452,0.20058649556721495,0.000280053,0.6134570994024976
217,ATP1A3,-1.994582320224167,0.2623995762612362,0.00110551,0.6466160062351819
218,CARTPT,-2.035140728664672,0.5323623515553595,0.00312089,0.7730843174307945
219,TBC1D12,-2.2546109053629118,0.018884395309910283,0.000105358,0.5108690192732748
220,STEAP3,-2.157059709587736,2.7845493932771643,0.000352523,0.9983603998362215
221,NABP1,-2.2378679003573203,0.15460538722752007,0.00157498,0.5880698797251285
222,ASAP1,-2.477512140626529,0.006047485254668062,6.39576e-05,0.5034811560994611
223,CNTNAP4,-2.9225069684995275,0.009033767202041416,0.000104586,0.5052000669265093
224,USP8,-2.4531895480470802,5.52557169534455e-05,0.000110831,0.500031807747497
225,TGFB1,-2.181467186920579,0.4921398643621899,0.000368037,0.7564278431154063
226,NCKAP1L,-1.8736037278708841,2.7344768248878455,0.000412779,0.9981603995335424
227,ACVR1,-2.2614150433438875,0.026822460393684883,0.000303693,0.5154353432689929
228,CAMK1G,-2.0974921017892076,2.197389307927199,0.000258286,0.9936924214199835
229,ST6GAL1,-2.9155515266606677,1.5912423538635019,5.88645e-05,0.9750099741929805
230,CHPF2,-2.2110588116422134,0.9636185838696978,0.00172619,0.9019263189284463
231,SF3B2,-2.041456224912765,0.0031612043735742123,0.000556664,0.5018197274820806
232,ADAM10,-2.7496368298686615,0.009319453600593846,7.43371e-05,0.5053645028809031
233,PLCG2,-2.547161641551835,1.918839561830419,0.000211019,0.9880887756683778
234,ERF,-2.280885676934453,0.04548005413402424,0.000125615,0.5261565239534111
235,MAP7,-2.407450599141107,1.7676582681643729,6.07328e-05,0.9832123822789898
236,CIT,-2.7609162591212995,0.0017203738581459355,6.20726e-05,0.5009903255050243
237,MOB1A,-2.432602185692838,0.410676099081826,0.00013198,0.7202327998955571
238,HLA-DRB5,-1.615492418321886,0.24513249520967678,0.000229532,0.6374788838992821
239,BIN1,-2.516878057113449,0.797435084444365,0.000392812,0.8624941776872164
240,UIMC1,-2.1218691388027007,0.00020738667895902208,6.99731e-05,0.5001193813665956
241,SEMA6A,-2.4542109009634596,0.027512220841994187,0.000298549,0.5158320130967683
242,SLC37A2,-1.9836839785350908,0.1433220052230667,0.000450264,0.5817620807364702
243,GPX1,-1.883961617919268,0.31595655117271926,0.000108444,0.674260124906771
244,TP53TG5,-2.060358937554376,0.9420532185264788,0.000544909,0.8974454694520405
245,REEP3,-2.4138633718668125,0.18004600610173543,0.000117896,0.6021834705954214
246,DYNC1I1,-2.8270737034302886,0.02137829102793784,0.000226731,0.512303849169863
247,IFIT3,-2.1674827024814443,3.017184146522719,0.000168603,0.9990397183984497
248,CTSO,-2.2404163561807158,0.0011469795900612809,0.000114014,0.5006602541427395
249,ANK2,-2.8595752844375877,0.13532024935354364,0.000196074,0.5772724333731376
250,NSF,-2.001470394075086,0.10949335910698386,0.000887125,0.5626976890298869
251,AMER2,-2.7671011962217866,0.44780427590027966,0.00020494,0.7371305418280458
