,GeneSymb,MeanPval,OR,Pval,Y
0,SMARCC2,-2.1566937661825065,0.20107369334462397,0.00064963,0.6137230785361407
1,CPD,-1.8365960908355534,0.1829790469366654,0.000137946,0.6038002255414378
2,SNAP91,-2.904658769592166,0.0030338008142951887,0.000111205,0.5017463890307852
3,ANKIB1,-2.106695354472322,0.5742298631763812,6.80107e-05,0.789549676851275
4,ZNF708,-2.2040502249730656,0.43314962629166004,0.000215544,0.7305399689280895
5,NTNG2,-2.1798270807001865,0.22050221890368635,0.000103975,0.6242730387894154
6,TYROBP,-2.0852897576673453,0.7161367388062725,0.000574485,0.8387512235497349
7,APBB3,-1.9411244172761046,0.18317562869074974,0.00170747,0.6039085049755359
8,FAM114A2,-2.225643904062462,0.208525925728056,0.000107455,0.6177829846803776
9,C3orf14,-2.1479647994601265,0.17926977719277995,0.00122783,0.6017552215873497
10,SIRPA,-1.995056243936514,0.3294930650110554,0.00225548,0.6810683430542274
11,SSFA2,-2.7076515758900173,0.3422059521343463,0.000145452,0.6873927751508185
12,CAMK2G,-1.799559315311157,0.2478658475645909,0.000133162,0.6389321106127928
13,FAM84B,-2.3620607383805936,0.1989777517962591,0.000638061,0.6125783469905403
14,MUC4,-2.6469056934434563,0.2015782521644064,6.03996e-05,0.6139984641710539
15,ALS2CL,-2.0888018572564397,0.21063865323620423,0.000267367,0.6189310206806572
16,CXCL16,-2.268109526081159,0.20849085139014822,0.000465074,0.6177639144798097
17,ANGPTL2,-2.1850553355199827,0.5244719951048792,0.00027632,0.7698813554972905
18,ARHGAP10,-2.982499780373151,0.20394413620370302,0.000130392,0.6152887762528657
19,ATP2A3,-2.2996213748143823,0.19556333407343196,0.000170782,0.6107108487865898
20,NUAK1,-2.185416128158436,0.1935153545517982,0.000215294,0.6095891526559141
21,RAB6A,-2.059554116771614,0.7040935835564879,0.000213075,0.834965434668683
22,CELF1,-1.336304852782271,0.1889909309319546,0.000467337,0.6071069900168555
23,TMEM132A,-2.4606948769230677,0.28151972307536954,0.000136946,0.6566099346788697
24,IFIT2,-2.0559744911162228,0.7299359378797081,0.00163598,0.8430024427537088
25,APOE,-2.152601255360955,0.4470459937430309,0.000889833,0.7367920791392628
26,XPO7,-2.5220722088559238,0.04186612021521915,5.67094e-05,0.5240814298669518
27,KCNIP2,-1.9612330428481448,0.7537129538560523,0.000711974,0.8501130773425885
28,SDK2,-2.9962650486207414,0.21173547666016196,0.000150696,0.61952650124963
29,NCAPD2,-2.217735908815246,0.7153161256884597,0.000203333,0.8384955053244139
30,PPARG,-3.0019075522539556,0.0404508706114723,4.29928e-05,0.5232685734261108
31,NFASC,-2.968244263155579,0.21014039593200276,9.70289e-05,0.618660391623799
32,GRN,-2.0944979628891307,0.16270660252408267,0.000684562,0.5925810880959578
33,HCK,-1.4349821425188887,0.22467473355672482,0.00453704,0.6265238493274279
34,ARNT2,-3.023641457727528,0.195357396364422,9.51503e-05,0.6105981076799113
35,CAMSAP2,-2.390961490485963,0.18485541167567668,8.77169e-05,0.604833331931785
36,TMEM74B,-2.2569447426785163,0.2103406688257819,0.00147697,0.6187691789539929
37,ERMP1,-2.4659015555427337,0.3019629638390425,0.000141804,0.6671438819793323
38,GPX1,-1.883961617919268,0.13952699272208474,0.000108444,0.579634405451446
39,WDFY4,-2.8431692028247126,0.43195649285019416,0.00012215,0.7299988186035953
40,ITGAL,-1.575611412627431,0.7532253197239074,0.00088421,0.849969950549518
41,FLOT1,-1.6566887164083524,0.2079125829532268,0.00107058,0.6174494530112262
42,SORT1,-2.0366631382727243,0.21508420763996852,0.000231159,0.6213423431029509
43,FLNC,-2.0102683626015585,0.2284063428406522,0.000129557,0.6285321918561273
44,LETM1,-2.0912747360494954,0.7081440202355525,0.00272829,0.8362465940680379
45,NDUFAF4,-1.872511900586624,0.18125699237757265,0.00119477,0.6028512646652596
46,NDUFAF7,-2.0799955839120816,0.22418118418718797,0.000306359,0.6262578937054438
47,TRIM59,-2.1254553182297307,0.013132540285068293,0.000826909,0.5075591218868325
48,CTH,-2.1433241857292065,0.20069999694700413,0.000504701,0.6135190700234789
49,LHFPL2,-3.106718624626566,0.18801477135768832,4.65496e-05,0.6065707238159742
50,SPI1,-1.6614133954214294,0.7554408536579869,0.000213152,0.8506193326301962
51,P2RY12,-1.9698794317716137,0.09048796766130565,0.000136572,0.55190143358003
52,FICD,-2.189203255451755,0.20765658728919745,0.00142478,0.6173102115440844
53,MINOS1,-2.1676291960409837,0.21365646115320777,0.000199753,0.6205685633310114
54,LIMD1,-2.9999224780769698,0.4280079146989135,0.00010783,0.7282030500187119
55,PARVG,-2.1406335146107054,0.7553155704549454,0.000178125,0.8505826735041481
56,GLTP,-2.1728368741512574,0.201242484543741,0.000250414,0.6138152120220258
57,CPOX,-1.8926950584977382,0.5974898253613965,0.000954134,0.798310972030489
58,SCARF1,-2.260234459381045,0.26323299555544,0.000675539,0.6470543857543336
59,ADARB2,-2.6264467951981474,0.2019609331376863,0.000272857,0.6142072808695545
60,CCDC113,-2.2845196564238215,0.2354077093155482,9.13183e-05,0.6322883066137439
61,FGL2,-2.1428206332925224,0.20438371558072,0.00199312,0.6155283372626419
62,ABCA7,-1.861711373040803,0.28151481289230806,0.0036076,0.6566073854471292
63,WASL,-2.082312795704963,0.012900707032667921,0.000154048,0.507425697906259
64,NCKAP1L,-1.8736037278708841,0.7532790986987471,0.000412779,0.8499857408796979
65,CPEB2,-2.7235517871466883,0.3147845783943144,0.000125739,0.6736671509390336
66,PLCG2,-2.547161641551835,0.1568545639578538,0.000211019,0.5893238658905299
67,ERF,-2.280885676934453,0.23353924265387788,0.000125615,0.6312874538117264
68,MOB1A,-2.432602185692838,0.21491571116103111,0.00013198,0.621251057002911
69,BIN1,-2.516878057113449,0.5630086824243744,0.000392812,0.7852243367089782
70,TP53TG5,-2.060358937554376,0.6207757854483693,0.000544909,0.806806107896507
71,ESYT2,-3.0650827296149625,0.21095415016383642,5.9443e-05,0.6191023450453085
72,ARFIP1,-3.055779913130686,0.43679176632832717,3.58357e-05,0.7321876352974676
73,ITGB2,-1.9696872100972758,0.2107763493496286,0.000411998,0.6190057974740948
74,ATG4C,-2.678553532766566,0.05662755622435734,8.29146e-05,0.5325513363280496
75,ABR,-2.2880166019455435,0.20714531212789164,0.000969803,0.6170320605285846
76,PLB1,-2.8054593993618053,0.19337591138177906,7.1704e-05,0.6095127361246608
77,TTBK2,-2.002956637193141,0.140915158532366,8.89761e-05,0.5804130288497477
78,LCP2,-2.167883689814885,0.21460253092853848,0.00138144,0.6210813629754067
79,LCP1,-2.1271155519380183,0.16511252374275684,0.000304546,0.593917875260383
80,NAF1,-2.521055611738218,0.7546994819419512,0.000301745,0.8504022918919788
81,CALY,-1.9565486266834498,0.20903755852340802,0.000986777,0.6180611222882071
82,AOAH,-2.6579286830564737,0.7249099401832082,9.82166e-05,0.8414647052871288
83,RABGGTB,-1.9852356039037247,0.12483195641411649,0.00148977,0.5713683571917848
84,MAP3K11,-1.9466046648445825,0.21067215380806523,0.00161162,0.6189492139090496
85,MBD6,-2.2961913281913016,0.10946470421568316,6.8434e-05,0.5626814532500144
86,SLC1A4,-2.0431209724378863,0.6923235158076826,0.000534175,0.8311969061342518
87,FAM126A,-2.645815813806352,0.21961619881043376,7.87404e-05,0.6237943908756135
88,SLC1A2,-3.152921951490708,0.21032350344007167,4.13653e-05,0.6187598552608536
89,HLA-DMA,-1.6975954822009096,0.20101991479028544,0.00286988,0.6136937221802619
90,FRYL,-2.5251877263035687,0.01313721225246251,0.000106014,0.5075618106725401
91,TGDS,-2.59852094774145,0.2187208212038949,0.000611326,0.6233104421485006
92,TMEM176B,-1.8624633372942663,0.20914982414122693,0.00240728,0.6181221426104488
93,TMC6,-2.0527625765609407,0.16746745491005396,0.00185498,0.5952249848418453
94,PTK2B,-3.02397165997191,0.12181006625116343,4.86436e-05,0.569663418583986
95,USP28,-2.2355568987054526,0.4936354251807809,9.69601e-05,0.7570617582968108
96,LRRC49,-2.3787992885659373,0.3012162398459833,8.555e-05,0.6667619583159311
97,RASAL2,-2.9630264925251106,0.2971611511312375,4.18262e-05,0.664684104275836
98,SETD3,-2.3424953902824535,0.2105906627863394,9.45677e-05,0.6189049578211101
99,ADAMTS4,-1.9807813379379513,0.1864196929165547,0.000630765,0.6056938938439781
100,CCSER2,-2.912420579847753,0.05248863542948426,0.000134412,0.5301781618680447
101,PLEKHH2,-2.8207904140123605,0.212736972719815,6.96096e-05,0.6200699134106261
102,CDH1,-2.6672973252899386,0.4102039602544706,0.000161421,0.7200136914852738
103,NABP1,-2.2378679003573203,0.20414247126207746,0.00157498,0.6153968713893233
104,LIPA,-1.9939286181178613,0.63079569182582,0.000334897,0.8103768579691707
105,TMUB1,-1.9303683280185493,0.6983095604843534,0.000681131,0.833122014008808
106,HLA-DRB1,-2.3684298176564007,0.21080291253289338,9.26102e-05,0.6190202221388913
107,HLA-DRB5,-1.615492418321886,0.24588680709303865,0.000229532,0.6378801772388001
