,GeneSymb,MeanPval,OR,Pval,Y
0,SMARCC2,-2.1566937661825065,0.0402554078639926,0.00064963,0.5231562985296812
1,IL17RA,-1.7532901628841973,2.889664010333362,0.0123698,0.9987124134317038
2,LAT2,-2.151690150992176,4.496410512572183,0.000773109,0.9999681157915273
3,TGDS,-2.59852094774145,0.8688630309360321,0.000611326,0.8808633196124761
4,C12orf10,-2.163801504088307,0.1696798126145069,0.00125698,0.5964517299272488
5,CPD,-1.8365960908355534,0.5554901013871961,0.000137946,0.7822902747015481
6,CDR2L,-1.9649546726217813,3.852912482658655,0.00194194,0.9998597100417709
7,RAB6A,-2.059554116771614,8.212871323374038,0.000213075,0.9999999938746815
8,PTK2B,-3.02397165997191,0.43358460026824963,4.86436e-05,0.7307370827130979
9,LRFN5,-2.869313549771611,5.615605614459579,0.000130411,0.9999975767772751
10,USP28,-2.2355568987054526,0.7398291334955606,9.69601e-05,0.8459938474925381
11,ANKIB1,-2.106695354472322,7.205649463464557,6.80107e-05,0.9999999377197267
12,RASAL2,-2.9630264925251106,3.767104769161475,4.18262e-05,0.9998290689383323
13,SETD3,-2.3424953902824535,0.0855178304506697,9.45677e-05,0.5490695693032679
14,ADAMTS4,-1.9807813379379513,5.785841208339699,0.000630765,0.9999983625875789
15,ALS2CL,-2.0888018572564397,4.6779174779345185,0.000267367,0.9999790070532166
16,TGFBRAP1,-2.2461460010377126,0.5763572937055552,0.000106662,0.7903624768707874
17,TYROBP,-2.0852897576673453,3.0521418577277615,0.000574485,0.9991139195556937
18,RYR2,-2.533981615583523,0.1816639577191274,0.00012766,0.6030755984003148
19,PLEKHH2,-2.8207904140123605,0.20367243323531603,6.96096e-05,0.6151406761933866
20,NTRK2,-2.678795294681548,9.213478686096478,0.000117018,0.9999999993883242
21,APBB3,-1.9411244172761046,1.5956878053158514,0.00170747,0.9752581714818299
22,DENND3,-2.777702392114502,6.772379701533344,0.000411467,0.9999998311036652
23,HLA-DPA1,-2.8239248994222548,3.8114038437607918,5.38983e-05,0.9998456420101606
24,GOLGA2,-2.169990183537556,0.16610004265000433,0.000460455,0.5944661628989644
25,FAM114A2,-2.225643904062462,0.18480191690464384,0.000107455,0.6048038911965797
26,ARHGAP27,-2.200578279047292,7.357313125110295,0.000291326,0.9999999560775198
27,SV2A,-2.117774752442985,2.6026440281195984,0.000518019,0.9975095774157704
28,C3orf14,-2.1479647994601265,1.3294243197331075,0.00122783,0.9552598727339298
29,NABP1,-2.2378679003573203,4.728829745856728,0.00157498,0.9999813292335928
30,LIPA,-1.9939286181178613,5.191673133287246,0.000334897,0.9999935683252581
31,TMUB1,-1.9303683280185493,3.3107936115377328,0.000681131,0.9995113542560728
32,SIRPA,-1.995056243936514,0.002787573096009429,0.00225548,0.501604650554998
33,CARD9,-2.255755386355497,0.10632128703315752,0.000661864,0.5608995940243665
34,HK2,-2.1614496280090907,1.4395468291033364,0.000126171,0.9649289703553465
35,SSFA2,-2.7076515758900173,6.6515022441372516,0.000145452,0.9999997769009819
36,HLA-DRB1,-2.3684298176564007,5.4711440397857425,9.26102e-05,0.9999966204841121
37,FAM84B,-2.3620607383805936,0.07804557297618174,0.000638061,0.5448061256390433
38,MUC4,-2.6469056934434563,4.020206073702262,6.03996e-05,0.9999045551558481
39,GNPAT,-2.289611491744821,0.17955835344619095,0.000148242,0.6019144486406276
40,GPATCH4,-2.3655786518069024,0.3085519275052313,0.000370475,0.6705043566999067
41,CTSS,-1.4539845205372988,3.9361482357993065,0.00278569,0.9998841752265982
42,PDE8B,-3.0485724564958203,3.1854073465715045,0.000135006,0.999347907266442
43,CXCL16,-2.268109526081159,7.783450246110453,0.000465074,0.9999999835354545
44,SDE2,-2.0314053887367063,0.1876221376781813,0.000943965,0.6063549527667321
45,ADCY7,-1.9180103277368337,7.608388491816146,0.00070225,0.999999975361657
46,KCTD17,-2.1348824943063063,4.712639330200446,0.00127524,0.9999806200678104
47,INPP5E,-2.1523488662616552,0.16729576325975815,0.000289138,0.5951297324131026
48,NDUFAF4,-1.872511900586624,0.10179282201170506,0.00119477,0.5583298633867712
49,ARPC1B,-2.1112432075636707,4.237355411019257,0.000206561,0.9999421078810166
50,APP,-2.3384467937133615,6.083396465572625,0.000821557,0.9999991747164739
51,ACSL1,-2.192198618547206,0.0025366073004865564,0.000165343,0.5014601843881118
52,STXBP3,-1.9782487092499585,6.612604819679232,9.5814e-05,0.9999997559970515
53,RFX2,-2.1002191202573663,7.683665423626316,0.00017357,0.9999999792826326
54,SYT7,-2.164905407752862,2.8735817528911403,0.000293113,0.9986639041960331
55,YEATS2,-2.354838512162116,0.065521378071032,0.000108552,0.5376457585850773
56,RUNX1,-2.521719803923377,0.123406817120875,0.000131935,0.5705645076862471
57,PTMS,-2.073567130749881,0.0011893947923844457,0.000858036,0.5006846702517166
58,ANGPTL2,-2.1850553355199827,9.047695677884555,0.00027632,0.9999999991040076
59,TLR5,-2.247660521655796,3.7077098072179955,0.00109773,0.999804023014675
60,NETO1,-2.8277660681137426,3.8742653473207747,0.000171593,0.9998664399280308
61,ALDH5A1,-2.015041970327397,0.1284861451706172,0.00034847,0.5734277718698227
62,SLC2A5,-2.245667253740031,4.144752808609642,0.000183674,0.9999283500200696
63,NFATC2,-2.8726409590547592,4.290996209668246,0.000107002,0.9999488339879653
64,TRIM38,-1.6462171904882243,3.9602403823829553,0.000982609,0.9998904248617854
65,RASD1,-2.1716198007281826,4.482526809897097,0.00188217,0.9999670800707691
66,AKNA,-2.4838213219613148,5.653994397721575,0.000104178,0.9999977817798864
67,DOCK2,-2.0701838469494995,6.44159742331579,0.00024306,0.9999996382550979
68,NUAK1,-2.185416128158436,0.27523174348016866,0.000215294,0.6533380328647679
69,DCLK1,-2.575975988319697,1.6004885668433237,0.000199143,0.9755235080969178
70,TMEM98,-2.230172711780479,9.463480320436123,0.000252489,0.9999999996560307
71,CELF1,-1.336304852782271,5.382004976552848,0.000467337,0.9999958505243409
72,SEC63,-2.913832754708523,2.0087046037655516,5.09373e-05,0.9902935737951885
73,LRRC49,-2.3787992885659373,5.736074838479356,8.555e-05,0.999998163781477
74,DNM1,-2.042542957297419,9.124645900701443,0.000253134,0.9999999992494941
75,RBBP5,-2.116942770511775,0.20334757936139744,0.00027201,0.6149635765925756
76,LAMB1,-2.1532852506666265,0.19580406346539114,0.00023799,0.6108426216799032
77,STAM,-2.939774198798301,0.19297145129718096,3.59258e-05,0.6092910567539915
78,IFIT3,-2.1674827024814443,4.526517994092506,0.000168603,0.9999702512250682
79,AP2B1,-2.810035071541826,0.24278083448199306,4.05458e-05,0.6362265739544277
80,SUCO,-2.17775934526668,9.392700689615276,0.000228491,0.9999999995951452
81,TGFA,-2.861476555255569,8.540959965882141,0.000109649,0.9999999971223363
82,UBTD2,-2.6511362694151477,0.8622427369578622,4.31696e-05,0.8792542779089703
