,GeneSymb,MeanPval,OR,Pval,Y
0,SMARCC2,-2.1566937661825065,0.20102466069679056,0.00064963,0.6136963128841325
1,CPD,-1.8365960908355534,0.1829473128212658,0.000137946,0.603782745080747
2,SNAP91,-2.904658769592166,0.003154277503899694,0.000111205,0.5018157401080675
3,ANKIB1,-2.106695354472322,0.5742313655804445,6.80107e-05,0.7895502516702028
4,ZNF708,-2.2040502249730656,0.433372645446617,0.000215544,0.7306410441656186
5,NTNG2,-2.1798270807001865,0.22042231227468373,0.000103975,0.6242298813801217
6,TYROBP,-2.0852897576673453,0.7160994056683839,0.000574485,0.8387395969579554
7,APBB3,-1.9411244172761046,0.18295541920664482,0.00170747,0.6037872104376455
8,FAM114A2,-2.225643904062462,0.20841727107626032,0.000107455,0.6177239070907103
9,C3orf14,-2.1479647994601265,0.1791827894865551,0.00122783,0.6017072203562919
10,SIRPA,-1.995056243936514,0.32994305377509753,0.00225548,0.6812933646353506
11,SSFA2,-2.7076515758900173,0.34217888869824775,0.000145452,0.6873793843154696
12,CAMK2G,-1.799559315311157,0.2476639074198794,0.000133162,0.6388248327820499
13,FAM84B,-2.3620607383805936,0.19882684435904935,0.000638061,0.6124958783474858
14,MUC4,-2.6469056934434563,0.20155775982385224,6.03996e-05,0.613987280975819
15,ALS2CL,-2.0888018572564397,0.2105390296324449,0.000267367,0.6188769159013676
16,CXCL16,-2.268109526081159,0.20837754429635486,0.000465074,0.6177023060200374
17,ANGPTL2,-2.1850553355199827,0.5244839974526146,0.00027632,0.769886251642212
18,ARHGAP10,-2.982499780373151,0.20389933015896758,0.000130392,0.6152643548104146
19,ATP2A3,-2.2996213748143823,0.195368785982723,0.000170782,0.6106043432635746
20,NUAK1,-2.185416128158436,0.19359685367509935,0.000215294,0.6096338126641903
21,RAB6A,-2.059554116771614,0.704219666314194,0.000213075,0.8350054358267278
22,CELF1,-1.336304852782271,0.1888099793490453,0.000467337,0.6070076013223527
23,TMEM132A,-2.4606948769230677,0.2782736618160378,0.000136946,0.6549227049656229
24,IFIT2,-2.0559744911162228,0.7298596274805565,0.00163598,0.8429791860951696
25,APOE,-2.152601255360955,0.446839631431815,0.000889833,0.7366999199099201
26,XPO7,-2.5220722088559238,0.0414994061120682,5.67094e-05,0.5238708176649214
27,KCNIP2,-1.9612330428481448,0.7536078239748782,0.000711974,0.8500822299039372
28,SDK2,-2.9962650486207414,0.21163964872515073,0.000150696,0.6194744892475079
29,NCAPD2,-2.217735908815246,0.7152280251664136,0.000203333,0.8384680321183284
30,PPARG,-3.0019075522539556,0.040346495128011056,4.29928e-05,0.5232086198559444
31,NFASC,-2.968244263155579,0.2100423307195104,9.70289e-05,0.6186071187009109
32,GRN,-2.0944979628891307,0.16204080747868882,0.000684562,0.5922109133571151
33,HCK,-1.4349821425188887,0.2247343027237375,0.00453704,0.6265559437938528
34,ARNT2,-3.023641457727528,0.19544777690721735,9.51503e-05,0.6106475881877429
35,CAMSAP2,-2.390961490485963,0.18470153111418916,8.77169e-05,0.6047486420355943
36,TMEM74B,-2.2569447426785163,0.21024560696297734,0.00147697,0.6187175432650928
37,ERMP1,-2.4659015555427337,0.30289028362207426,0.000141804,0.6676178686536376
38,GPX1,-1.883961617919268,0.13947409931411686,0.000108444,0.579604729628617
39,WDFY4,-2.8431692028247126,0.4320230796056761,0.00012215,0.7300290373224985
40,ITGAL,-1.575611412627431,0.7531234371269578,0.00088421,0.8499400325070023
41,FLOT1,-1.6566887164083524,0.20781358678459394,0.00107058,0.6173956091819811
42,SORT1,-2.0366631382727243,0.2149282015704708,0.000231159,0.6212578242092578
43,FLNC,-2.0102683626015585,0.228296980274695,0.000129557,0.6284733959423948
44,LETM1,-2.0912747360494954,0.7080593034512457,0.00272829,0.8362198801038123
45,NDUFAF4,-1.872511900586624,0.18115284380672225,0.00119477,0.6027938473246262
46,NDUFAF7,-2.0799955839120816,0.22370150304331607,0.000306359,0.6259993380147009
47,TRIM59,-2.1254553182297307,0.012715638446791624,0.000826909,0.507319187026647
48,CTH,-2.1433241857292065,0.20058616740858912,0.000504701,0.6134569202258328
49,LHFPL2,-3.106718624626566,0.187818905705443,4.65496e-05,0.606463091432515
50,SPI1,-1.6614133954214294,0.7553428107310793,0.000213152,0.850590644913973
51,P2RY12,-1.9698794317716137,0.09233472130639529,0.000136572,0.552952822116264
52,FICD,-2.189203255451755,0.20754123820990047,0.00142478,0.6172474644402389
53,MINOS1,-2.1676291960409837,0.21358216002621858,0.000199753,0.620528278353193
54,LIMD1,-2.9999224780769698,0.42790867282785483,0.00010783,0.7281578196267958
55,PARVG,-2.1406335146107054,0.7552185827131296,0.000178125,0.8505542888222631
56,GLTP,-2.1728368741512574,0.2011926496948252,0.000250414,0.6137880108688478
57,CPOX,-1.8926950584977382,0.5976017254833743,0.000954134,0.7983524547516895
58,SCARF1,-2.260234459381045,0.2652348139654155,0.000675539,0.6481063328470522
59,ADARB2,-2.6264467951981474,0.20186246919883472,0.000272857,0.6141535562777282
60,CCDC113,-2.2845196564238215,0.2354126246001026,9.13183e-05,0.6322909380102543
61,FGL2,-2.1428206332925224,0.20429413082084563,0.00199312,0.6154795200972495
62,ABCA7,-1.861711373040803,0.28148290663631736,0.0036076,0.6565908203783156
63,WASL,-2.082312795704963,0.010420800217396933,0.000154048,0.5059984070138882
64,NCKAP1L,-1.8736037278708841,0.7531807266046084,0.000412779,0.849956856289163
65,CPEB2,-2.7235517871466883,0.31480903848043323,0.000125739,0.6736795325052913
66,PLCG2,-2.547161641551835,0.15680715682352547,0.000211019,0.5892974468451436
67,ERF,-2.280885676934453,0.23348636366506037,0.000125615,0.6312591124413168
68,MOB1A,-2.432602185692838,0.21486206713416126,0.00013198,0.6212219925512312
69,BIN1,-2.516878057113449,0.5629024447970599,0.000392812,0.785183079183916
70,TP53TG5,-2.060358937554376,0.6207707201307708,0.000544909,0.8068042899274243
71,ESYT2,-3.0650827296149625,0.21085507237480375,5.9443e-05,0.6190485460033601
72,ARFIP1,-3.055779913130686,0.43689994287117284,3.58357e-05,0.7322364754129995
73,ITGB2,-1.9696872100972758,0.21069338737397428,0.000411998,0.6189607450949864
74,ATG4C,-2.678553532766566,0.05804421631534969,8.29146e-05,0.5333632881352239
75,ABR,-2.2880166019455435,0.2070660902536957,0.000969803,0.6169889542809026
76,PLB1,-2.8054593993618053,0.19339266513038078,7.1704e-05,0.6095219176641545
77,TTBK2,-2.002956637193141,0.14025757301296515,8.89761e-05,0.5800442382221699
78,LCP2,-2.167883689814885,0.21455408786298857,0.00138144,0.6210551118675793
