,GeneSymb,MeanPval,OR,Pval,Y
0,SMARCC2,-2.1566937661825065,2.2280295362696596,0.00064963,0.9941195699665663
1,CPD,-1.8365960908355534,1.4900846826440155,0.000137946,0.9686608603699374
2,ANKIB1,-2.106695354472322,1.5115935036735497,6.80107e-05,0.9701299193639202
3,ZNF708,-2.2040502249730656,2.1044940920658317,0.000215544,0.9921998123890182
4,NTNG2,-2.1798270807001865,0.10685182461314563,0.000103975,0.5612004429346331
5,TYROBP,-2.0852897576673453,1.5326728139601606,0.000574485,0.9715047727674742
6,APBB3,-1.9411244172761046,1.2771412344301585,0.00170747,0.949823356060104
7,FAM114A2,-2.225643904062462,2.7136608831693847,0.000107455,0.9980702536464627
8,SV2A,-2.117774752442985,2.2529636269544486,0.000518019,0.9944458511666627
9,C3orf14,-2.1479647994601265,1.3090654067062644,0.00122783,0.9532130666468049
10,SIRPA,-1.995056243936514,1.0583970962940419,0.00225548,0.9196092237296664
11,SSFA2,-2.7076515758900173,3.1318795047382277,0.000145452,0.9992624354125532
12,CAMK2G,-1.799559315311157,1.2646587861154224,0.000133162,0.9484357022194269
13,FAM84B,-2.3620607383805936,3.128819328768858,0.000638061,0.9992572238203106
14,BCAT1,-2.5408210192319927,0.37192409281478145,6.15153e-05,0.7019052159834179
15,MUC4,-2.6469056934434563,3.266427457185294,6.03996e-05,0.9994588253436607
16,ALS2CL,-2.0888018572564397,1.3444760471330972,0.000267367,0.956717944968885
17,CXCL16,-2.268109526081159,1.1425500515246614,0.000465074,0.932818874785115
18,ZNF671,-2.0097897561377827,0.4097393710732421,0.00153271,0.7197979843470714
19,TEX2,-3.1239010812501475,2.092864907451598,5.33321e-05,0.9919898194052474
20,ANGPTL2,-2.1850553355199827,2.454520013726135,0.00027632,0.9965008893435204
21,ARHGAP10,-2.982499780373151,1.9213773959941316,0.000130392,0.9881573549830109
22,ATP2A3,-2.2996213748143823,1.8448400720395857,0.000170782,0.9859072423074257
23,NUAK1,-2.185416128158436,1.7566072812871376,0.000215294,0.9827871732157862
24,RAB6A,-2.059554116771614,0.43534928731899436,0.000213075,0.7315358375414327
25,CELF1,-1.336304852782271,2.649189220557639,0.000467337,0.9977621148772037
26,GTF3C5,-2.554097530226904,2.128492562449162,0.000141937,0.992616050278123
27,TMEM132A,-2.4606948769230677,0.24765657489550297,0.000136946,0.6388209372220792
28,IFIT2,-2.0559744911162228,1.7302229273800855,0.00163598,0.9817287366933248
29,APOE,-2.152601255360955,1.213151126972912,0.000889833,0.9423172428184285
30,XPO7,-2.5220722088559238,0.7073196814780461,5.67094e-05,0.8359865043099016
31,KCNIP2,-1.9612330428481448,3.361981621573602,0.000711974,0.999565660120988
32,SDK2,-2.9962650486207414,4.436910251311943,0.000150696,0.9999634343019949
33,KCNQ5,-2.0322820292330226,1.891645436784875,0.000414329,0.9873288396721847
34,NCAPD2,-2.217735908815246,1.756650264746046,0.000203333,0.9827888474182457
35,PPARG,-3.0019075522539556,0.6892245833335763,4.29928e-05,0.8301933588350904
36,NFASC,-2.968244263155579,0.8380126894791682,9.70289e-05,0.873204644025517
37,GRN,-2.0944979628891307,0.0018807893768461484,0.000684562,0.5010826677034489
38,HCK,-1.4349821425188887,7.130065345436269,0.00453704,0.9999999258801345
39,ARNT2,-3.023641457727528,1.4403078989233953,9.51503e-05,0.9649882260700694
40,CAMSAP2,-2.390961490485963,1.6187973407215326,8.77169e-05,0.9765101934389497
41,TMEM74B,-2.2569447426785163,3.5265633247909416,0.00147697,0.9997026229103793
42,ERMP1,-2.4659015555427337,0.2617120686884275,0.000141804,0.6462541906909327
43,GPX1,-1.883961617919268,1.1478409459339358,0.000108444,0.9335783263054415
44,WDFY4,-2.8431692028247126,0.5533462123604016,0.00012215,0.7814483592327145
45,ITGAL,-1.575611412627431,2.7932682325193814,0.00088421,0.9983929356508455
46,FLOT1,-1.6566887164083524,1.6676595974517647,0.00107058,0.9789571724917467
47,SORT1,-2.0366631382727243,3.4819545578739795,0.000231159,0.9996704644270074
48,FLNC,-2.0102683626015585,1.9283444476206861,0.000129557,0.9883436248160573
49,LETM1,-2.0912747360494954,4.3039299066553705,0.00272829,0.9999503352191251
50,SLC4A4,-3.186107956481843,0.14568403062563254,6.23354e-05,0.5830848220469842
51,NDUFAF7,-2.0799955839120816,2.1696024852192517,0.000306359,0.9932784639219671
52,TRIM59,-2.1254553182297307,1.4836150537485746,0.000826909,0.968205465128978
53,LHFPL5,-2.231330396910774,1.2799814849235938,8.03412e-05,0.9501341263612864
54,CTH,-2.1433241857292065,2.0065052878178813,0.000504701,0.9902447754212204
55,LHFPL2,-3.106718624626566,0.061638027285308455,4.65496e-05,0.5354222607913113
56,SPI1,-1.6614133954214294,5.613313227626845,0.000213152,0.9999975639527123
57,P2RY12,-1.9698794317716137,0.3603462847205057,0.000136572,0.6962974102962294
58,P2RY13,-1.9855261769747952,2.104885852521917,0.0012986,0.9922067906573212
59,FICD,-2.189203255451755,2.132128447894998,0.00142478,0.992677159389167
60,MINOS1,-2.1676291960409837,1.8767825637215136,0.000199753,0.9868934704246702
61,LIMD1,-2.9999224780769698,2.07251045571945,0.00010783,0.9916086880298408
62,BSG,-2.3304374674975104,0.36750995315465473,0.00220389,0.699774218129683
63,PARVG,-2.1406335146107054,0.18627178770190825,0.000178125,0.6056125543434054
64,EGLN2,-2.0137416671428046,2.1860814038046654,0.000583031,0.9935271086445888
65,GLTP,-2.1728368741512574,2.0593152129871406,0.000250414,0.9913520593564618
66,CPOX,-1.8926950584977382,0.9226482244574745,0.000954134,0.8932594590694636
67,SLC17A9,-1.9654268709630929,0.18823035732130775,0.00104693,0.6066891809730934
68,SCARF1,-2.260234459381045,0.2054950433796494,0.000675539,0.616133736188781
69,ADARB2,-2.6264467951981474,2.0999265016742097,0.000272857,0.9921179928533153
70,CCDC113,-2.2845196564238215,2.713463386014491,9.13183e-05,0.9980693775816352
71,FGL2,-2.1428206332925224,2.240011496809145,0.00199312,0.9942786748754453
72,ABCA7,-1.861711373040803,1.539806823002872,0.0036076,0.971956011070251
73,CLPTM1,-2.0637529480859014,0.3951670575994739,0.00169565,0.712980881235012
74,WASL,-2.082312795704963,0.5990390979140683,0.000154048,0.7988847389526575
75,NCKAP1L,-1.8736037278708841,5.9999741405197105,0.000412779,0.9999989999414547
76,CPEB2,-2.7235517871466883,5.970332445284638,0.000125739,0.9999989293017577
77,SIRT2,-1.9713891982018572,0.3288701970354061,0.001314,0.6807567320855612
78,PLCG2,-2.547161641551835,0.7097940212102658,0.000211019,0.8367661946373786
79,ERF,-2.280885676934453,6.513567953591734,0.000125615,0.9999996934989877
80,MOB1A,-2.432602185692838,0.3213775627867126,0.00013198,0.6769956780850419
81,BIN1,-2.516878057113449,4.026606608518107,0.000392812,0.9999059513545902
82,TRIM9,-3.0978274228263585,0.17745457981683263,0.000164428,0.6007531618465811
83,TP53TG5,-2.060358937554376,5.340129826959408,0.000544909,0.9999954305051886
84,DYNC1I1,-2.8270737034302886,0.136309819302015,0.000226731,0.5778283720995582
85,ESYT2,-3.0650827296149625,4.09665214220988,5.9443e-05,0.9999199588914301
86,ARFIP1,-3.055779913130686,1.5162694691265133,3.58357e-05,0.9704403441108186
87,ITGB2,-1.9696872100972758,1.2825571474859114,0.000411998,0.9504143687880428
88,ZNF300,-2.3384906752854975,0.5433502206891625,7.762e-05,0.7774919688324045
89,ABR,-2.2880166019455435,3.9450934619671427,0.000969803,0.9998865362171974
90,PLB1,-2.8054593993618053,3.9461300009579867,7.1704e-05,0.9998868066698604
91,TTBK2,-2.002956637193141,1.1596168866256826,8.89761e-05,0.9352400911335156
92,LCP2,-2.167883689814885,2.699762636068297,0.00138144,0.9980076243603844
93,LCP1,-2.1271155519380183,1.495035971815382,0.000304546,0.9690051102710697
94,NAF1,-2.521055611738218,0.613918965163232,0.000301745,0.8043332407450393
95,CALY,-1.9565486266834498,2.830379964052906,0.000986777,0.9985243658313258
96,AOAH,-2.6579286830564737,0.03186886148423269,9.82166e-05,0.5183369637742381
97,RABGGTB,-1.9852356039037247,3.6886169948669454,0.00148977,0.9997952169250769
98,MAP3K11,-1.9466046648445825,2.4549722426058453,0.00161162,0.9965045183257061
99,MBD6,-2.2961913281913016,0.5459915874833046,6.8434e-05,0.7785423630647058
100,SLC1A4,-2.0431209724378863,3.215918488890645,0.000534175,0.9993921205915561
101,FAM126A,-2.645815813806352,3.4343295437117902,7.87404e-05,0.9996322855212425
102,SLC1A2,-3.152921951490708,3.5081676628302336,4.13653e-05,0.9996897601506743
103,HLA-DMA,-1.6975954822009096,2.051212709663448,0.00286988,0.9911906374961456
104,CD74,-2.117128489661213,3.0964061731360477,0.00058452,0.9991997123274063
105,TGDS,-2.59852094774145,3.2470602676000326,0.000611326,0.9994341596398432
106,TMEM176B,-1.8624633372942663,2.8562943871645547,0.00240728,0.9986097227921672
107,TMEM130,-2.2251835313633563,0.8873754061759158,0.000454425,0.8852645397183307
108,PTK2B,-3.02397165997191,0.9918863097024393,4.86436e-05,0.9075350580956796
109,RCBTB1,-3.300303937049166,1.357655709185145,3.84672e-05,0.9579573145364944
110,USP28,-2.2355568987054526,0.6646097570497989,9.69601e-05,0.8220532051637207
111,LRRC49,-2.3787992885659373,0.6019068483371695,8.555e-05,0.799943574068599
112,RASAL2,-2.9630264925251106,2.9437551783188867,4.18262e-05,0.9988630254096691
113,SETD3,-2.3424953902824535,3.137702777168718,9.45677e-05,0.9992722519493514
114,ADAMTS4,-1.9807813379379513,1.6409557631824707,0.000630765,0.9776525097579035
115,CCSER2,-2.912420579847753,0.7453158060684407,0.000134412,0.8476326629022664
116,EIF3D,-2.2603399128037145,0.046544294664655254,0.00019344,0.5267674340394392
117,PLEKHH2,-2.8207904140123605,2.9669378758990304,6.96096e-05,0.9989220621315966
118,CDH1,-2.6672973252899386,0.4354516343925201,0.000161421,0.7315821171147013
119,SLC12A9,-1.849637304605088,4.604786972855064,0.000813583,0.9999751571030503
120,NABP1,-2.2378679003573203,0.33200313808874515,0.00157498,0.6823224509809341
121,LIPA,-1.9939286181178613,1.3405046512307894,0.000334897,0.9563376984630565
122,MRVI1,-2.789525209194123,0.06035527098250295,0.000124552,0.5346874766229908
123,RAB5A,-2.352087956479423,0.7098357450307613,0.000108208,0.8367793166344735
124,RFFL,-2.1286965642360025,0.27049955434829887,0.000105138,0.650866059155411
125,HLA-DRB1,-2.3684298176564007,7.45006609371778,9.26102e-05,0.9999999645240617
126,HLA-DRB5,-1.615492418321886,2.8107885471623484,0.000229532,0.9984563794593385
127,FAM69C,-2.269169711245984,0.5716554761397923,0.0004735,0.7885630262948936
128,PDE8B,-3.0485724564958203,1.7767468658314445,0.000135006,0.9835543330761598
129,SDE2,-2.0314053887367063,0.5463116952665844,0.000943965,0.7786694192052207
130,DBH,-2.1449745219304437,0.14409171276297578,0.000190434,0.5821932494135745
131,APP,-2.3384467937133615,0.19857250313344071,0.000821557,0.6123568701070609
132,C1QC,-2.2978915285779737,1.4623757178999317,0.000638039,0.9666650135757406
133,RFX2,-2.1002191202573663,1.8696258540929798,0.00017357,0.9866786004289327
134,SYT7,-2.164905407752862,1.3477086523826447,0.000293113,0.9570251188408873
135,YEATS2,-2.354838512162116,1.9594683685084733,0.000108552,0.9891409999467689
136,GNG5,-1.7532637861114448,1.7482597133169802,0.000826028,0.9824589851764937
137,NETO1,-2.8277660681137426,0.7661708028952832,0.000171593,0.8537315876277248
138,ALDH5A1,-2.015041970327397,1.7032457967617418,0.00034847,0.9805805257828357
139,CD300A,-2.033793958949972,0.41976773148543306,0.000781427,0.7244314896666327
140,PAK1,-3.4358666394277857,0.9278572677291913,4.46698e-05,0.8943976937281353
141,NFATC2,-2.8726409590547592,3.6208185531542187,0.000107002,0.9997606257252643
142,PAPLN,-2.145217686570657,0.06148570713819225,0.000356924,0.5353350172571733
