,GeneSymb,MeanPval,OR,Pval,Y
0,HIF3A,-1.965255184714551,0.28357521021105364,0.00334502,0.6576762926679549
1,SMARCC2,-2.1566937661825065,1.6756039374061964,0.00064963,0.9793307157177713
2,RNF13,-3.2329878784223425,0.2540719913630304,5.5443e-05,0.6422222352576619
3,CPD,-1.8365960908355534,1.2173398548740444,0.000137946,0.9428392648461944
4,RIC3,-2.2771428841654493,0.8141872965583197,8.99328e-05,0.8670052677103944
5,SNAP91,-2.904658769592166,0.8852542079885426,0.000111205,0.8847675072107437
6,ANKIB1,-2.106695354472322,1.4386392013131892,6.80107e-05,0.9648581775105185
7,ZNF708,-2.2040502249730656,0.13355128349861364,0.000215544,0.5762781443595526
8,NTNG2,-2.1798270807001865,1.8035009349714715,0.000103975,0.9845216614702751
9,TYROBP,-2.0852897576673453,1.8974141508643896,0.000574485,0.9874939462464485
10,APBB3,-1.9411244172761046,0.4385061243836156,0.00170747,0.7329609776620252
11,FAM114A2,-2.225643904062462,2.3099518785329844,0.000107455,0.9951255457726849
12,C3orf14,-2.1479647994601265,1.318153090145319,0.00122783,0.9541374848721358
13,SIRPA,-1.995056243936514,0.911574141332921,0.00225548,0.890803711672745
14,SSFA2,-2.7076515758900173,3.0090119248223544,0.000145452,0.9990214953181982
15,CAMK2G,-1.799559315311157,0.6460528318034945,0.000133162,0.8157165126864715
16,FAM84B,-2.3620607383805936,0.4771137181464946,0.000638061,0.7499967461856909
17,BCAT1,-2.5408210192319927,0.6045081601440578,6.15153e-05,0.8009004136179168
18,MUC4,-2.6469056934434563,4.163412816848086,6.03996e-05,0.9999313631453203
19,ALS2CL,-2.0888018572564397,5.009243231311835,0.000267367,0.9999902106801811
20,CXCL16,-2.268109526081159,5.053382809684611,0.000465074,0.9999911567205366
21,FAM172A,-2.4791994241355835,0.7056591517962568,0.000283339,0.835461577290503
22,ZNF671,-2.0097897561377827,0.36456829310452293,0.00153271,0.6983492652723569
23,TEX2,-3.1239010812501475,1.353750270888195,5.33321e-05,0.957593641289515
24,ARHGAP12,-2.6584246222122334,0.0870876833628796,5.73037e-05,0.5499643859868981
25,ANGPTL2,-2.1850553355199827,2.2350747414481114,0.00027632,0.9942136462822202
26,ARHGAP10,-2.982499780373151,2.1783786898523503,0.000130392,0.993412043378364
27,ATP2A3,-2.2996213748143823,1.5904525621169427,0.000170782,0.9749656256614458
28,NUAK1,-2.185416128158436,1.963864017101899,0.000215294,0.9892491777647507
29,POLR3A,-2.558821689299002,0.5696068806743391,0.00027194,0.7877754729409441
30,RAB6A,-2.059554116771614,2.390608414429071,0.000213075,0.9959483827054342
31,CELF1,-1.336304852782271,2.167832633908382,0.000467337,0.9932512014438589
32,MFSD11,-1.9167621133436639,0.34377341481619345,0.00319612,0.6881678127464336
33,GTF3C5,-2.554097530226904,1.81095516479026,0.000141937,0.9847810559380943
34,GPR137C,-2.283981224043999,0.807161227565989,0.000134603,0.8651287138428724
35,TMEM132A,-2.4606948769230677,1.1387228091868264,0.000136946,0.9322645004732099
36,IFIT2,-2.0559744911162228,1.8571235192452094,0.00163598,0.9862948670244693
37,PPP1R15A,-2.308786185685145,0.344269932788211,0.000339201,0.6884130985946949
38,APOE,-2.152601255360955,1.0602396325727965,0.000889833,0.9199223129890036
39,XPO7,-2.5220722088559238,1.3930524209347785,5.67094e-05,0.9611200914288066
40,SNX32,-1.7889653009532975,0.6081031689068872,0.00238937,0.802217097894465
41,KCNIP2,-1.9612330428481448,3.2688122198507212,0.000711974,0.999461787259139
42,DSEL,-2.1693137949209103,2.545647000816863,0.00207239,0.997161307061792
43,SDK2,-2.9962650486207414,3.9772558049765734,0.000150696,0.9998946344998627
44,KCNQ5,-2.0322820292330226,0.7912376012892671,0.000414329,0.8607929859001632
45,NCAPD2,-2.217735908815246,1.5417254862111376,0.000203333,0.972076180927875
46,PPARG,-3.0019075522539556,0.5619238687664613,4.29928e-05,0.7848027771388992
47,NFASC,-2.968244263155579,2.044800336271853,9.70289e-05,0.9910607733118255
48,GRN,-2.0944979628891307,1.5064438063770011,0.000684562,0.9697843888810859
49,HCK,-1.4349821425188887,6.495401478089812,0.00453704,0.9999996804061724
50,ARNT2,-3.023641457727528,1.3707802889449283,9.51503e-05,0.95915774170679
51,RPS6KA1,-2.073864400203947,1.6574932534912203,0.000196326,0.978469503698321
52,CAMSAP2,-2.390961490485963,0.38897665241900936,8.77169e-05,0.7100551357511256
53,TMEM74B,-2.2569447426785163,3.370180002155843,0.00147697,0.999573778990907
54,ERMP1,-2.4659015555427337,0.22884758307097325,0.000141804,0.6287693744167511
55,CDC40,-2.4618615942775905,4.2267088296052195,0.000161,0.9999406712219671
56,TCIRG1,-2.073249585148674,0.12563722137199534,0.000456001,0.5718224005343456
57,CD14,-2.0172420848934762,0.020362410981063946,9.9911e-05,0.5117193991640792
58,WDFY4,-2.8431692028247126,0.7834978606637031,0.00012215,0.8586437117023533
59,ITGAL,-1.575611412627431,3.3341404992159545,0.00088421,0.9995369175311011
60,FLOT1,-1.6566887164083524,1.4450436946936938,0.00107058,0.9653547851460724
61,SORT1,-2.0366631382727243,2.3670167381918796,0.000231159,0.9957231711072698
62,FLNC,-2.0102683626015585,1.9998233976565576,0.000129557,0.9900950228117286
63,MAP3K1,-2.5492522834892704,1.0974252436191558,6.57129e-05,0.9260072539791847
64,LETM1,-2.0912747360494954,3.580427619221469,0.00272829,0.9997373010861876
65,AP3M2,-2.475766755954239,0.008271216068078454,0.000194237,0.5047611507924363
66,NDUFAF4,-1.872511900586624,2.090275342020193,0.00119477,0.9919423004676755
67,NDUFAF7,-2.0799955839120816,1.457986966140755,0.000306359,0.9663378370048024
68,TRIM59,-2.1254553182297307,4.261887898079637,0.000826909,0.9999452872757277
69,CTH,-2.1433241857292065,1.1675461893105281,0.000504701,0.9363371515626443
70,LHFPL2,-3.106718624626566,0.086219988498832,4.65496e-05,0.5494698392082321
71,SPI1,-1.6614133954214294,4.5838882784711945,0.000213152,0.9999739324388867
72,CIITA,-2.2481735046273554,0.5234539597091576,0.000419425,0.7694658002094354
73,P2RY12,-1.9698794317716137,0.06163723014877241,0.000136572,0.5354218042256426
74,FICD,-2.189203255451755,0.008082214217546378,0.00142478,0.5046523622230392
75,MINOS1,-2.1676291960409837,2.2274258877380975,0.000199753,0.9941114389311155
76,AP3D1,-2.1037771951575435,4.621191664047116,0.00162107,0.9999760779746302
77,BSG,-2.3304374674975104,0.21326548391255176,0.00220389,0.6203565625990829
78,PARVG,-2.1406335146107054,1.7196582818567872,0.000178125,0.9812872390631985
79,EGLN2,-2.0137416671428046,0.8855909134590317,0.000583031,0.8848465278297329
80,GLTP,-2.1728368741512574,1.962974804000452,0.000250414,0.9892273803979057
81,PLA2G16,-2.015658441024804,3.3382805351738742,0.00195775,0.9995413090071219
82,CPOX,-1.8926950584977382,0.2919410956516757,0.000954134,0.6619999003001162
