,GeneSymb,MeanPval,OR,Pval,Y
0,BPTF,-2.7289859509571226,3.20155480410186,1.14301e-05,0.9993716925060546
1,MOV10,-2.145282761696311,3.0028543355584905,0.000337813,0.9990075367616608
2,CRKL,-2.247691511135588,0.02899803347352763,0.000127669,0.5166864109540132
3,RNF13,-3.2329878784223425,0.02459740193197524,5.5443e-05,0.5141556189007809
4,TBC1D31,-2.682356542364038,4.089208452474145,0.00011635,0.9999185752968773
5,WLS,-2.59563920579112,0.5033130020428063,0.000205222,0.7611366024765688
6,CPE,-2.8670781472384714,0.3146430652159372,0.000219452,0.6735955129624593
7,IL6ST,-2.2072467274215595,0.781711926482221,0.000164657,0.8581438502590888
8,LAPTM5,-2.1576166906790797,1.4532564623649784,0.000440531,0.9659817128722902
9,B2M,-2.0022798402961386,0.04180269515961867,0.000866025,0.5240450040337697
10,SRSF11,-2.563199052347766,0.1805579774936692,0.000242908,0.6024658419746758
11,UBAC1,-2.3577552585910024,0.823463802026126,7.49888e-05,0.8694489719076741
12,ANKIB1,-2.106695354472322,0.15902316509428338,6.80107e-05,0.5905318307410957
13,TYK2,-2.0832185867395103,0.3940332911112461,0.00026828,0.7124463546541219
14,FKBP9,-2.23726570745246,0.15091204403171782,0.000348644,0.5860082502559496
15,ACTG1,-2.2635636574419373,2.3475881041849425,0.000604508,0.9955283733264632
16,LHX2,-2.327903973816329,5.48359449001805,0.000260141,0.9999967159929275
17,NCAN,-2.1249355451677183,0.39537348903941966,0.000237981,0.7130781416839219
18,MFGE8,-2.2319704539220506,0.2934445406777218,0.000441287,0.6627740662584294
19,GATM,-2.1932344108357174,0.24731020028658948,0.000308298,0.6386368975252624
20,TYROBP,-2.0852897576673453,3.126802110346025,0.000574485,0.9992537683164968
21,AXL,-2.163054712840684,0.56971618001925,0.000141669,0.7878175455865788
22,FKBP11,-1.954128485580169,0.04199985824098003,0.00221771,0.5241582365119365
23,DUSP4,-2.2580337387210654,0.8727816094838126,0.000408324,0.881806957664084
24,CXCL14,-2.1958909177210675,0.3108717987569229,0.00115169,0.6716834127539345
25,ATRNL1,-3.028418791363776,1.131960379651749,0.000128654,0.9312745849547668
26,PHIP,-2.7497339862569294,4.650006617304924,8.0161e-05,0.9999776136308843
27,ZC3H13,-2.393865769137579,2.126602330144968,8.4577e-05,0.9925840810341996
28,ZNF580,-2.122055072032845,1.3044606001677637,0.000550113,0.9527379179465816
29,DMPK,-2.127117285578889,0.03423845384502376,0.00159881,0.5196990365196951
30,HBS1L,-2.5484292936944244,0.02182031047967154,4.81897e-05,0.5125581387361682
31,C2CD2,-2.382952392553425,0.7913275812652798,0.000240276,0.8608178108817491
32,MAPKAPK3,-1.5579922432790108,0.6574063863523225,0.000297161,0.8196139477845349
33,PCSK1,-2.2079415667909617,0.9714030856549165,0.000499003,0.9035004501171636
34,ARHGEF15,-1.9413972592036017,4.230348129695294,0.000576711,0.9999411662787657
35,LARP6,-2.3837560419915182,0.12476949198632856,0.000247856,0.5713331320032874
36,CSF1R,-2.123565247383027,0.38964096632821754,0.00010359,0.7103699518428739
37,CD34,-1.962574729093632,0.12534034409941888,0.000296907,0.5716550222724855
38,CAMK2A,-2.2084744015640645,3.1547073423799303,0.000171295,0.9993001763393227
39,PIK3C2A,-2.668012127403049,0.40273420188188896,9.03462e-05,0.7165332397830984
40,F3,-2.177117746414445,1.2066982146164689,0.000466134,0.9415042808736027
41,SMARCD3,-1.8620563376445443,0.08056680187098046,0.0010977,0.5462454284855498
42,MACROD1,-2.780485708569977,0.6912280245205978,9.75768e-05,0.8308426872740758
43,SNTG1,-2.6316555875075425,0.11983829084127666,0.000320789,0.5685500566509151
44,OSBPL3,-2.553833088261283,0.5848409039896232,0.000139184,0.7935807406526453
45,PIK3C3,-3.8731337305646605,0.685296065973934,7.81776e-05,0.8289143473834464
46,OSBPL7,-2.0926756262918396,0.0977496717614927,0.000589422,0.5560328833292528
47,CNDP2,-2.3211349640475594,0.2176718922471248,0.000200478,0.6227431864082684
48,OSBPL5,-2.9256240622798932,0.37232940960528793,4.30417e-05,0.7021004525992056
49,RAPGEF4,-2.777740793626365,0.8936690145043817,0.000109714,0.8867282685001698
50,LST1,-1.6479331260452013,0.16472945140713377,0.00148546,0.5937051237272991
51,MAX,-2.112774915486018,0.40200935404517885,0.000136635,0.716194116272728
52,CLEC2B,-2.277820346449973,0.2871105947197302,0.0005378,0.6595066758769704
53,PARP12,-2.449160526600961,1.6299785501784037,0.000245758,0.9770935598942807
54,GRB14,-2.695002415119385,0.10982890265596837,0.000200164,0.562887797044984
55,CLDN5,-1.7989851085238144,1.898165611936806,0.000978281,0.9875152968729382
56,NPY,-2.1557161307334836,1.180515036584703,0.000607461,0.9380941901105847
57,ENC1,-2.272720763876631,1.3494442261692516,0.000861288,0.9571891792301543
58,ARHGAP10,-2.982499780373151,2.019537816542577,0.000130392,0.990530435470396
