,GeneSymb,MeanPval,OR,Pval,Y
0,RNF14,-2.48766747212106,1.1090813855533301,0.000183065,0.9278253250126157
1,PGM2L1,-1.9057216752359307,0.40534236163879567,0.000212053,0.7177514512143467
2,IFT27,-2.486077571977743,2.846703890401072,0.000100662,0.998578724014001
3,RYK,-2.4263491812759037,0.1639574642357239,8.02966e-05,0.593276269055562
4,CTNNA3,-2.432698285096758,1.1742258515283734,0.000217823,0.9372478511905354
5,PCSK2,-2.1855563333809367,1.2695875933838012,0.000287492,0.9489879134577625
6,PCSK6,-2.4539024392877,3.2301030656638607,0.000201341,0.999411642439353
7,CPE,-2.8670781472384714,0.2944799849697677,0.000219452,0.6633067386440745
8,SNAP91,-2.904658769592166,1.557525013600008,0.000111205,0.9730468977546503
9,FKBP5,-1.9802787605144703,2.9464545657507024,3.91395e-05,0.9988700624764341
10,SBF2,-2.775426245001858,0.03648173458476209,0.000106427,0.5209882342495393
11,EMILIN2,-1.9999604001880569,0.23958707564241,0.000754156,0.6345228708410809
12,ANKIB1,-2.106695354472322,0.5409343269454779,6.80107e-05,0.7765281289167527
13,DBN1,-2.1433870713365826,0.4344011946257488,0.000521775,0.7311068864126744
14,SEMA4B,-2.1580735711652808,1.4155098690878771,0.000260084,0.9630069981611087
15,NSRP1,-1.7535270241338987,1.7018851718409875,0.000159218,0.9805207770267955
16,EEF2K,-1.9965876771350939,0.13746100743191236,0.000179563,0.5784748594878227
17,BLOC1S5,-2.536259559612279,0.6465849729327544,0.000143032,0.8159006323463739
18,GABRB3,-2.628017958676428,0.07607591142004615,0.000246837,0.5436811756767687
19,NCAN,-2.1249355451677183,2.5105121016520577,0.000237981,0.9969228444786504
20,DLG4,-2.2018139286886957,2.0417550162862868,0.000320489,0.9909984364276335
21,LHX6,-2.1359002917881833,1.5829023862509817,0.000890965,0.9745377784213322
22,CDC73,-1.5659023360531363,0.259994693707707,0.000105968,0.6453496540248145
23,TYROBP,-2.0852897576673453,4.57911385576755,0.000574485,0.9999736442913523
24,OLIG2,-2.326751985087919,1.0930558751726993,0.000393332,0.925314945589315
25,CAMK4,-2.1290335641981564,3.134378201728158,9.23905e-05,0.9992666636755155
26,ZNF704,-3.2214264125873653,0.8873980542534639,7.6585e-05,0.8852698364629884
27,NAPG,-2.605047273420867,2.027731809934715,0.000152716,0.990705781302847
28,ZC3H13,-2.393865769137579,3.6531117125323807,8.4577e-05,0.9997777755879155
29,SPTLC2,-2.885518151538674,2.0870762106178877,0.000140055,0.9918832096604857
30,MRPL51,-2.3494058600831815,0.4919977912875304,0.00072194,0.7563675650860963
31,ADAMTSL3,-2.6371346078195455,0.9064564442893566,0.000108158,0.8896521697804791
32,THY1,-2.3264306177306784,0.35545183378736767,0.000196262,0.6939089382192303
33,KDM2B,-2.1886926527878323,0.13020242631707074,7.47168e-05,0.5743941539117664
34,YAF2,-2.6755898145288324,0.35356098783222983,0.000151659,0.692983406968721
35,WDR7,-2.7029301543039503,0.35613438982288703,0.000161121,0.6942426524343712
36,SFRP2,-2.143855781381566,3.047099173335169,0.000781913,0.9991035804035668
37,DIMT1,-2.3697071154117517,0.6883004061850017,0.000267078,0.8298931593510841
38,TCOF1,-2.278632435673802,1.2567105070899474,0.000109284,0.9475332741992303
39,SLITRK3,-2.107354939126324,0.09731094220180053,0.00103899,0.5557834879443306
40,B3GALT2,-1.3359410293371734,1.8490969193501907,0.00158007,0.9860427827251452
41,SLC45A4,-1.9986270856638362,0.6255495497023617,0.000269802,0.8085136550763874
42,GRINA,-2.4816579879016567,0.32377576149330284,5.77346e-05,0.6782020180522864
43,CASP4,-2.233943467478195,2.3725145699500914,0.000251939,0.9957767439846777
44,CRB1,-2.6977498356857224,1.8487891482998955,6.83178e-05,0.9860330263688796
45,PHF20L1,-2.485155746434016,1.1793850213233257,0.000211202,0.9379429130965331
46,MUC4,-2.6469056934434563,0.5911109547624344,6.03996e-05,0.7959357015126591
47,PIK3C2A,-2.668012127403049,0.7437528435811358,9.03462e-05,0.8471672836557979
48,LRP1,-2.062999101359397,0.820165066946895,0.000961157,0.8685843905724153
49,MON2,-2.736646716776119,0.31685891950656025,0.000168631,0.674716309446588
50,COL23A1,-2.7075435226485647,0.6404242577865836,0.000239019,0.8137603078801423
51,GMIP,-1.9669712289530465,1.170549129821564,0.00146402,0.9367480842536628
52,IQCK,-2.267608015023516,0.6591534851927929,7.56433e-05,0.8202079483182573
53,CXCL12,-1.9754756904414175,0.9709278995426545,0.00678229,0.9034050113488555
54,OSBPL6,-2.7125683466733497,0.12024358725399897,0.000118315,0.5687789640117488
55,MT1F,-1.9499315476395196,0.3147796475406154,0.00139823,0.673664654937628
56,PLEKHG3,-2.1136009913666935,0.19130796831135824,0.000186491,0.6083788495064344
57,SCARF1,-2.260234459381045,1.549147477977617,0.000675539,0.9725363432978887
58,CCND1,-2.4385104908102195,1.041364657010257,0.000335681,0.9166617366094255
59,PARP12,-2.449160526600961,0.9061032179158038,0.000245758,0.8895722985298151
60,GRB14,-2.695002415119385,3.417451301510675,0.000200164,0.9996177190608716
61,ATF7IP2,-2.6727669605157773,1.377909389415496,0.000102178,0.9597959749506952
62,CCDC146,-2.9785587442061052,0.34001734996890004,6.46936e-05,0.6863088584958298
63,CEP70,-2.1410359612405654,0.47923505333293626,8.36756e-05,0.7509114893207188
64,ANGPTL2,-2.1850553355199827,0.1579355504875829,0.00027632,0.5899261379193811
65,C1QL2,-2.456243352315862,2.12326381070268,0.00123276,0.9925272811623382
66,ACLY,-2.027743049469715,0.18920153737005493,0.000135501,0.6072226556400184
67,IPCEF1,-2.7698611477415893,0.9016390034861455,9.30116e-05,0.888558483314274
68,PAIP2B,-2.243322538535861,5.605271735093011,0.000161484,0.9999975184262464
69,LMO2,-2.0128066727320966,0.0013963323825102155,0.000254808,0.5008037928397847
70,ARHGAP19,-2.514570587931088,0.9849788908852745,8.45585e-05,0.9061917149818117
71,PHPT1,-2.1678334689670424,0.12059200459566412,0.00160872,0.56897572315808
72,ATP6V1D,-2.2541110158039763,1.9622976551835105,0.000285861,0.9892107520698554
73,HLA-DMA,-1.6975954822009096,8.383082435416505,0.00286988,0.999999995860789
74,RASL10A,-2.1168864640572638,2.2090738963221654,0.00120613,0.993858834432987
75,GABRG3,-2.433195423115197,2.1244545353128714,0.000302093,0.9925475889106908
76,GABRG2,-2.162890747784725,0.2603714188758339,0.000251849,0.6455481633956255
77,ITGA3,-2.299809748552624,1.4003210525289451,8.84209e-05,0.9617407065209111
78,TMEM98,-2.230172711780479,0.5528002278278545,0.000252489,0.7812335741973739
79,ANO2,-2.7283401997613304,0.764267155369855,8.2654e-05,0.8531833771502034
80,PDS5B,-3.1828710324740213,1.8177440812733034,3.86438e-05,0.9850135719436734
81,IMPAD1,-2.4259745610228456,1.7128491798660845,0.000229795,0.9809971574876764
82,SFXN3,-1.98057152532794,1.4267361094010527,0.00216543,0.9639169285639319
83,GPR137B,-3.188841396560089,0.9551466948541482,3.46714e-05,0.9001872207647996
84,BAZ2B,-2.37783145568757,0.20735208791601287,0.000184507,0.617144562806219
85,BOD1L1,-2.3807233415797446,3.1109899934835354,0.000150881,0.9992261197122578
86,TMEM132A,-2.4606948769230677,1.2760600829495834,0.000136946,0.9497045788647863
87,IFIT2,-2.0559744911162228,2.9130063629470704,0.00163598,0.998779709169646
88,PHLDA3,-2.0862240422989133,0.15201412993453295,0.00125834,0.5866237551939477
89,RASL11B,-1.308603458256883,1.3598445641625063,0.00665133,0.9581598341636889
90,APOE,-2.152601255360955,0.16125129783080944,0.000889833,0.591771819032951
91,EPS8L2,-1.4140994891228156,1.8730644721083018,0.00403936,0.9867822703197484
92,ZIC4,-2.1306442064244804,0.8340941129764619,0.000685414,0.8722022802917954
93,ZIC2,-2.369676673836934,1.5839004501816942,0.00115034,0.9745947417645159
94,SEMA4F,-1.8339219628443264,2.5025059288649114,0.000256643,0.9968657707805364
95,ABCA2,-1.9556494974804728,0.19385990410324244,0.000323014,0.6097779468800734
96,ZNF516,-3.152891709281872,1.311449636737236,0.000122099,0.9534572961352106
97,KCNIP2,-1.9612330428481448,2.4412793876414827,0.000711974,0.9963929574816536
98,ARL13B,-1.1048815440547541,1.2762821348690296,0.00661715,0.9497289955860507
99,KIF9,-1.8520804536175408,0.21489590962777005,0.000207338,0.6212403285900192
100,CHRAC1,-2.382931423834864,0.1399429035490142,0.0011028,0.5798677319594289
101,DSN1,-1.5626429122236947,3.9489714865537993,0.00436938,0.9998875447664097
102,UCK2,-2.135275905210947,0.06625791067992819,0.000215284,0.5380673103457895
103,PPP1R7,-2.140554271312253,0.45169746481522505,6.45612e-05,0.7388638691645151
104,DSP,-2.2870451640183265,0.2393027947589798,0.000395916,0.6343710578073946
