,Mean,Min,Names
0,-0.3806951826657449,0.3483,SAMD11
1,-0.6107302641599117,0.1338,HES4
2,-0.4929199309532084,0.1338,ISG15
3,-0.6486977407876486,0.01687,AGRN
4,-0.9111672368548892,0.007672,RNF223
5,-0.3316697802396493,0.05033,C1orf159
6,-0.5369945332902386,0.02476,TTLL10
7,-0.39519467094422495,0.07152,TNFRSF18
8,-0.16944514308097214,0.163,TNFRSF4
9,-0.17718537064236087,0.1217,SDF4
10,-0.1774416565699325,0.1217,B3GALT6
11,-0.20141821047436687,0.1442,FAM132A
12,-0.46363421313928865,0.07488,UBE2J2
13,-0.6265863469040248,0.08039,SCNN1D
14,-0.4434705353136845,0.08039,ACAP3
15,-0.2077256425560048,0.3237,PUSL1
16,-0.2045325643088907,0.3237,CPSF3L
17,-0.2555371774692463,0.3316,CPTP
18,-0.24076369125997266,0.3992,TAS1R3
19,-0.5326162138715823,0.037860000000000005,DVL1
20,-0.28925884087155695,0.037860000000000005,MXRA8
21,-0.3365015253951354,0.02992,AURKAIP1
22,-0.49234098673539495,0.02992,CCNL2
23,-0.4628632450039345,0.031180000000000003,MRPL20
24,-0.37443815044987816,0.031180000000000003,ANKRD65
25,-0.24498490136380888,0.2242,TMEM88B
26,-0.841566728770474,0.1282,ATAD3B
27,-0.41494673158232437,0.1029,ATAD3A
28,-0.29978356187464233,0.1321,TMEM240
29,-0.1669401281319485,0.1321,SSU72
30,-0.47567627478496305,0.06285,SLC35E2
31,-0.4299281103778019,0.06285,NADK
32,-0.43106673739363943,0.02887,GNB1
33,-0.47252670272115727,0.02217,CALML6
34,-0.48263764017850214,0.02217,TMEM52
35,-0.3638331762306794,0.02217,CFAP74
36,-0.28146252228300145,0.06165,PRKCZ
37,-0.22204022612668625,0.1855,LOC100506504
38,-0.21638156761550945,0.1855,C1orf86
39,-0.6161678798110448,0.0013449999999999998,SKI
40,-0.5559440998970521,0.0001943,MORN1
41,-0.3412365157806938,0.0008062000000000001,RER1
42,-0.3592541242560183,0.036239999999999994,PEX10
43,-0.1989314885582101,0.1584,PLCH2
44,-0.19455216165565845,0.2858,PANK4
45,-0.16135060891445366,0.4468,HES5
46,-0.12133681514435991,0.3093,TNFRSF14
47,-0.34369648800741,0.1941,FAM213B
48,-0.49405691332790347,0.08201,MMEL1
49,-0.32817306845181377,0.08201,TTC34
50,-0.8485737456264343,0.041319999999999996,ACTRT2
51,-0.5535882796533286,0.003206,PRDM16
52,-0.4124619038841073,0.07422000000000001,ARHGEF16
53,-0.3297670547583884,0.04339,MEGF6
54,-0.2078849276961752,0.09614,TPRG1L
55,-0.18918618572435947,0.09614,WRAP73
56,-0.44663427816698814,0.01183,TP73
57,-0.5667316738440975,0.004023,CCDC27
58,-0.762130808243656,0.004023,SMIM1
59,-0.6791583513593288,0.0062,LRRC47
60,-0.5355270158167091,0.021830000000000002,CEP104
61,-0.5107868521686065,0.02281,DFFB
62,-0.38999289120626274,0.09962,C1orf174
63,-0.38873644646284067,0.01023,AJAP1
64,-0.35504709016144126,0.003001,NPHP4
65,-0.3976296842352864,0.01184,KCNAB2
66,-0.550659905732565,0.00647,CHD5
67,-0.25551922433278235,0.005536999999999999,RPL22
68,-0.2823293634783227,0.1017,RNF207
69,-0.4273255794135422,0.02625,ICMT
70,-0.5356692606592051,0.02625,HES3
71,-0.4597356084785334,0.1453,GPR153
72,-0.4092814422079802,0.022619999999999998,ACOT7
73,-0.37765273877744915,0.004862,HES2
74,-0.36426575057005567,0.004862,ESPN
75,-0.1698891445081511,0.1249,TNFRSF25
76,-0.35143625144515134,0.06518,PLEKHG5
77,-0.3624430324046102,0.071,NOL9
78,-0.42601261417597414,0.04484,TAS1R1
79,-0.6161330700731439,0.01294,ZBTB48
80,-0.6668773761377105,0.01294,KLHL21
81,-0.698906563091571,0.01737,PHF13
82,-0.8167045380380207,0.01737,THAP3
83,-0.6767248147655155,0.01737,DNAJC11
84,-0.40786191679804534,0.00492,CAMTA1
85,-0.5188462518732139,0.03428,VAMP3
86,-0.48386524028622324,0.02453,PER3
87,-0.5731352313069177,0.006206000000000001,UTS2
88,-0.35599472298476825,0.01259,TNFRSF9
89,-0.45166658435378393,0.0461,PARK7
90,-0.48878374428185245,0.009009999999999999,ERRFI1
91,-0.7386180945304027,0.002013,SLC45A1
92,-0.6623681611262497,0.0009000999999999999,RERE
93,-0.762253372827847,0.009413,ENO1
94,-0.45044085517444743,0.004972,CA6
95,-0.5971901646831778,0.0036090000000000002,SLC2A7
96,-0.7178586421717043,0.0036090000000000002,SLC2A5
97,-0.35323587398271167,0.0486,GPR157
98,-0.3175395262884943,0.06801,H6PD
99,-0.36131990921124085,0.0189,SPSB1
100,-0.23908839772990353,0.07569,SLC25A33
101,-0.25873554887165123,0.1795,TMEM201
102,-0.4446116888818126,0.03828,PIK3CD
103,-0.44322007876018776,0.04154,CLSTN1
104,-0.3851220688115687,0.05599,CTNNBIP1
105,-0.41201002322470415,0.1313,LZIC
106,-0.27442846623831857,0.0257,NMNAT1
107,-0.1776708485037051,0.09404,RBP7
108,-0.33826798001297076,0.006490000000000001,UBE4B
109,-0.6059947440165291,0.019790000000000002,KIF1B
110,-0.5693474227701584,0.028710000000000003,PGD
111,-0.3739890369880077,0.04986,APITD1
112,-0.3739890369880077,0.04986,APITD1-CORT
113,-0.3855817251156849,0.145,CORT
114,-0.3188618560076223,0.1119,DFFA
115,-0.3461201093336657,0.007562,PEX14
116,-0.4156303251537409,0.004671,CASZ1
117,-0.4281652205050848,0.07504,C1orf127
118,-0.6956159142021907,0.1001,TARDBP
119,-0.6866388985330388,0.06803,MASP2
120,-0.512129939584633,0.07028999999999999,SRM
121,-0.712260106901043,0.0404,EXOSC10
122,-0.5380862619479518,0.01209,MTOR
123,-0.6216277604757742,0.01209,ANGPTL7
124,-0.2379578397860886,0.2393,UBIAD1
