,GeneSymb,MeanPval,OR,Pval,Y
0,RGL2,-1.9664381101035961,0.9430186783817509,0.000993787,0.897649892143652
1,IL1RL1,-2.5326624356037106,0.5615986646682636,6.43355e-05,0.7846762855928411
2,LAT2,-2.151690150992176,0.2369723901568079,0.000773109,0.6331255594652835
3,PRDM5,-2.7178781023533625,0.020344743995403952,0.000143222,0.5117092348119109
4,CPE,-2.8670781472384714,0.5717421686141841,0.000219452,0.7885963067621352
5,SAV1,-1.7639070442970646,0.4334586221506968,0.000457444,0.7306800035544664
6,RAPGEF5,-2.4700983154239635,2.541505449844517,0.000170479,0.9971341849723683
7,PTK2B,-3.02397165997191,4.854441991770328,4.86436e-05,0.9999860185589433
8,GPM6A,-2.692635352816593,3.1566443933906685,0.000192468,0.9993032885896347
9,MYL3,-2.141209206564145,0.2635079952036699,0.00036384,0.6471989816445357
10,ATP9A,-3.0107869440167305,0.0599623462524401,8.07671e-05,0.5344623725226808
11,USP28,-2.2355568987054526,3.112347623100875,9.69601e-05,0.9992285332659571
12,APLP2,-2.497129853295815,0.07725644130539372,5.83508e-05,0.5443554762431697
13,TMED10,-2.0582932145692685,1.8993611181983037,0.000102079,0.9875491896288932
14,LTBR,-2.2328981824713123,0.4998945337421945,0.000902476,0.7597025969755095
15,ADAMTS4,-1.9807813379379513,1.081621119408493,0.000630765,0.923474888505702
16,LSR,-2.145202118311554,0.22198352575987326,0.000376923,0.6250727316012266
17,PKD1L2,-2.345926570545773,1.614730579235265,0.000403604,0.9762944390623897
18,TYROBP,-2.0852897576673453,1.6648364672776488,0.000574485,0.9788228443168348
19,EMILIN2,-1.9999604001880569,2.339259730486062,0.000754156,0.995442188995348
20,ARC,-2.4957920278052876,3.075346592585681,0.000675454,0.9991599822963658
21,DSC2,-2.2819128518504743,2.190865587178897,0.000551481,0.9935975686136533
22,FSTL3,-2.140194710360805,2.4759478651292746,0.00110537,0.9966687824915001
23,NTRK2,-2.678795294681548,1.2115985687430364,0.000117018,0.9421226200978918
24,ARHGEF1,-2.141227284499913,0.21376633182417018,0.000502788,0.6206281305463303
25,DENND3,-2.777702392114502,0.43654523731772843,0.000411467,0.7320763099730827
26,GOLGA2,-2.169990183537556,0.472454959323183,0.000460455,0.7479799917511919
27,IRF2BP1,-2.135231373676104,0.26882836229603657,0.0012607,0.649991120893889
28,PTP4A3,-2.5851633788179713,1.9658248517446135,0.000244832,0.9892970898445931
29,C3orf14,-2.1479647994601265,2.4076947996495166,0.00122783,0.9961040809923979
30,CXCL16,-2.268109526081159,0.4600471304792531,0.000465074,0.7425563052417478
31,SLC12A9,-1.849637304605088,0.03770045936748388,0.000813583,0.5216885107691202
32,SDE2,-2.0314053887367063,0.062350291232507404,0.000943965,0.5358301912596264
33,MRPL34,-2.223934469771499,0.16652018446969868,0.00128988,0.594699361594109
34,HHAT,-2.7491696175244784,2.575111814506136,0.000233818,0.9973470169301032
35,LARP6,-2.3837560419915182,0.3416217932373552,0.000247856,0.6871036671743873
36,ALOX5,-1.7145063139271717,0.8108116225169167,0.00569212,0.8661064516244613
37,CAMK2G,-1.799559315311157,2.1293690395183313,0.000133162,0.9926308275604836
38,CRTAC1,-2.9856100868825433,2.9956695159355573,9.57928e-05,0.9989909979262791
39,ERGIC3,-1.9306756201064954,0.2576724205939506,0.00166595,0.6441248655543685
40,CSNK1G2,-2.1159178223008976,2.5306838013808775,0.00106824,0.9970620905726348
41,CTSZ,-2.175421268461815,0.42791669481833566,0.000397434,0.7281614758976738
42,HELZ2,-2.236373832052607,0.39155413201786937,0.000914207,0.711275462328705
43,ALS2CL,-2.0888018572564397,2.516039597419571,0.000267367,0.9969616426437352
44,PDE8B,-3.0485724564958203,1.9489164090782265,0.000135006,0.9888769004759405
45,SETD6,-2.2669389277330985,0.09725882932024728,0.000538682,0.5557538625581119
46,GNAI1,-2.247195295204135,3.274126066185697,0.000293109,0.9994683290021219
47,KCTD17,-2.1348824943063063,1.6274420772800602,0.00127524,0.9769624757230704
48,GTF2F2,-2.5778096661474486,4.913305971136066,4.34665e-05,0.9999877907573131
49,RBM48,-1.9775582718580567,3.0456050149007416,0.000656994,0.9991004938050125
50,SYT1,-2.6746910258828662,2.324112135815874,0.000155393,0.9952811773535711
51,APP,-2.3384467937133615,2.626944412778773,0.000821557,0.9976447797774005
52,ACSL1,-2.192198618547206,1.7765452427326884,0.000165343,0.9835468219800533
53,FBXL5,-2.570246614774298,2.128684069757773,6.97948e-05,0.9926192815740218
54,CHN1,-2.536910837571401,0.5523458228820279,4.13753e-05,0.781054699841842
55,PIDD1,-1.6686034955824538,2.0818280347476317,0.00115792,0.9917853389341403
56,TLR2,-2.5208523510514365,1.230973301217432,0.000395535,0.9445077632243697
57,SYK,-2.7879113607265418,0.41599499376753496,5.72821e-05,0.7226939128144735
58,KCNJ6,-2.761058826373141,1.7341927474313668,0.000125621,0.9818919800065278
59,STARD9,-2.038369832511541,2.5004736668509815,7.63703e-05,0.9968511162142338
60,ANGPTL2,-2.1850553355199827,4.201561248679149,0.00027632,0.9999371346339947
61,LIMA1,-2.120873584457472,3.6458762371563234,4.84557e-05,0.9997740430937121
62,ACTB,-2.248309503390519,1.7818421092155186,0.000577112,0.9837430316643117
63,HSD11B1,-2.1298462019765165,5.226808484777661,0.000149411,0.9999940681666818
64,SLC19A3,-2.5238133522874264,2.732852022719232,0.000137927,0.998153516978624
65,ACTA2,-1.843798546711608,2.017220426908093,0.000396343,0.9904802532598423
66,SNX1,-2.265003446300491,3.574708920707064,0.000316202,0.9997338199738519
67,PDXK,-2.3370695330816345,0.470201782391172,0.000212467,0.7470007405468803
68,SNX6,-2.4402378044931607,4.638419339660992,5.47775e-05,0.9999770083216529
69,MED24,-1.99947961449708,2.108628648971468,0.000196714,0.9922731480670374
70,CELF1,-1.336304852782271,0.5217838693504644,0.000467337,0.7687829427287617
71,NCSTN,-2.0522390683830225,4.117377932977677,0.00125734,0.9999236886873238
72,DTD1,-2.68866062713769,2.1559194955097523,0.000133925,0.9930648142281526
73,FAM102A,-2.0508282447785953,0.5086678435146251,0.000103693,0.7633710642868852
74,TOMM20,-2.4403791204514884,0.5486848878013759,0.000283425,0.7796097513718852
75,RGS19,-2.1632092922413815,0.171700014951685,0.00123759,0.5975708733824723
