,Unnamed: 0,GeneSymb,MeanPval,OR,Pval,Y,Score (OR*MV),Score,Evidence
0,278,CRIM1,-2.790007414,7.001226634,0.000100527,0.9999999,19.53347421,-19.53347422,0
1,64,FAT4,-2.851319758,5.592087171,9.12E-05,0.999997442,15.94482864,-15.94482864,0
2,133,EIF4EBP1,-2.063445379,7.050294334,0.000350099,0.999999911,14.54789726,-14.54789726,0
3,65,NETO1,-2.827766068,4.814189673,0.000171593,0.999984661,13.6134022,-13.6134022,0
4,245,LRP11,-1.819153631,7.422455474,0.000169598,0.999999962,13.50258683,-13.50258683,0
5,224,MOB1A,-2.432602186,5.465780104,0.00013198,0.999996578,13.29606863,-13.29606863,0
6,24,HLA-DPA1,-2.823924899,4.626381312,5.39E-05,0.999976362,13.06455338,-13.06455338,0
7,241,MTHFD2L,-2.239827303,5.729590092,2.18E-05,0.999998136,12.83329232,-12.83329232,0
8,175,RBPMS,-3.288059969,3.787265344,3.01E-05,0.999836821,12.45275557,-12.45275557,0
9,157,TTPAL,-2.147222532,5.617752397,0.000886057,0.999997589,12.06256452,-12.06256453,0
10,63,ANGPTL2,-2.185055336,5.428406459,0.00027632,0.999996271,11.8613685,-11.8613685,0
11,209,KIAA1191,-2.124274684,5.450669297,0.00076776,0.999996457,11.5787188,-11.5787188,0
12,112,PTPDC1,-2.392173443,4.690450063,0.000189467,0.999979604,11.22037008,-11.22037008,0
13,94,GDA,-2.622752648,4.032711093,8.73E-05,0.999907264,10.5768037,-10.5768037,0
14,139,BTBD3,-2.721726722,3.865892332,0.000140847,0.99986384,10.52190246,-10.52190246,0
15,122,RIC3,-2.277142884,4.570920112,8.99E-05,0.999973142,10.40863821,-10.40863821,0
16,46,HELZ2,-2.236373832,4.628500072,0.000914207,0.999976477,10.35105644,-10.35105644,0
17,18,PKD1L2,-2.345926571,4.354078592,0.000403604,0.999955751,10.21434866,-10.21434866,0
18,99,NCAM1,-3.15554646,3.219498562,7.18E-05,0.999397108,10.15927729,-10.15927729,0
19,109,HLA-DRB1,-2.368429818,4.156770195,9.26E-05,0.999930305,9.845018475,-9.845018476,1
20,249,TTLL3,-1.828261849,4.9677947,8.13E-05,0.99998923,9.082429526,-9.082429524,0
21,228,SLC37A2,-1.983683979,4.480839527,0.000450264,0.999966952,8.888569579,-8.888569582,0
