,GeneSymb,MeanPval,OR,Pval,Y
0,TLCD2,-2.453689142417749,2.107581816116458,0.000390054,0.9922546450612106
1,FRYL,-2.5251877263035687,-1.3770565753802109,0.000106014,0.04027986720087447
2,LAT2,-2.151690150992176,3.3987311502605446,0.000773109,0.9996008873595373
3,PRDM5,-2.7178781023533625,2.7122179297693343,0.000143222,0.998063843791202
4,SSFA2,-2.7076515758900173,1.8518501018737448,0.000145452,0.9861297603879855
5,ERGIC3,-1.9306756201064954,2.961012519296731,0.00166595,0.9989072705323745
6,RAPGEF5,-2.4700983154239635,3.135762746225263,0.000170479,0.9992689961458491
7,PTK2B,-3.02397165997191,0.9908944404394247,4.86436e-05,0.9073432288347413
8,FXYD5,-2.1934499713371722,-0.2658046840821582,0.000390556,0.35159446491804536
9,MYL3,-2.141209206564145,4.109895937491708,0.00036384,0.9999223627142517
10,LRFN5,-2.869313549771611,-0.6871444507200285,0.000130411,0.17048292218092026
11,USP28,-2.2355568987054526,1.8987541664491685,9.69601e-05,0.9875319938377862
12,LRRC49,-2.3787992885659373,3.0204205037586647,8.555e-05,0.9990468410127598
13,APCDD1,-2.6187360892777685,0.2702255550275462,0.000217193,0.6507226786208926
14,APLP2,-2.497129853295815,1.4838619830356263,5.83508e-05,0.9682229633012113
15,CPNE4,-2.8448575302892096,1.4568526601386942,0.000107841,0.9662527729722464
16,LTBR,-2.2328981824713123,1.6881507840105787,0.000902476,0.979907485462559
17,ADAMTS4,-1.9807813379379513,3.018033004879798,0.000630765,0.9990415917044941
18,ZNF708,-2.2040502249730656,2.2940964804946975,0.000215544,0.9949452150098448
19,ADAMTS1,-2.554877792445079,1.956342181157726,0.000717018,0.9890634094214678
20,PKD1L2,-2.345926570545773,4.57092011200558,0.000403604,0.9999731423367808
21,TYROBP,-2.0852897576673453,-3.363235548215179,0.000574485,0.00043308817229306153
22,RYR2,-2.533981615583523,2.7784880036422948,0.00012766,0.9983373940329386
23,DSC2,-2.2819128518504743,2.632479696176621,0.000551481,0.9976745382925731
24,NTRK2,-2.678795294681548,2.3264629337155727,0.000117018,0.9953065313615673
25,NFASC,-2.968244263155579,0.06235783107113423,9.70289e-05,0.5358345092486956
26,GOLGA2,-2.169990183537556,0.5009058439174784,0.000460455,0.7601274414725407
27,IRF2BP1,-2.135231373676104,-0.7487739535780222,0.0012607,0.1513417891457592
28,ARHGAP25,-2.975963843717747,2.400098090801082,8.86168e-05,0.9960356063385589
29,C3orf14,-2.1479647994601265,2.573537110200382,0.00122783,0.9973374057020974
30,CXCL16,-2.268109526081159,0.18837956695588715,0.000465074,0.6067711592481114
31,SLC12A9,-1.849637304605088,3.2508141545259845,0.000813583,0.9994390267537407
32,ATL1,-1.9325420591652094,1.6254916076470145,0.000274001,0.9768611781272529
33,NECAB1,-2.9620761478242015,-1.0628948483634255,0.000112356,0.0796284626710011
34,NABP1,-2.2378679003573203,-1.1259954334374078,0.00157498,0.06960969677919279
35,PTTG1IP,-2.1870038267980143,2.0338489282867416,0.000221388,0.9908345830180656
36,HHAT,-2.7491696175244784,1.931861844980319,0.000233818,0.9884365625180077
37,TMUB1,-1.9303683280185493,5.729590092341092,0.000681131,0.9999981361579817
38,SLC38A3,-1.539535443331026,1.5774852216425819,0.000519736,0.9742264237995847
39,CTSO,-2.2404163561807158,0.4587744496181467,0.000114014,0.7419957023325483
40,RNASEH1,-2.3759189458169474,-0.8206225515817942,0.000986382,0.13129541549478052
41,FAM84B,-2.3620607383805936,2.4140038173479463,0.000638061,0.9961600523429053
42,AZGP1,-1.5830194399277595,0.3565972552868233,0.00102742,0.6944688399969974
43,ATP1B1,-2.199189005792163,-0.41600015020698367,0.00026616,0.27730370772632734
44,CSNK1G2,-2.1159178223008976,3.8658923317727125,0.00106824,0.9998638403172625
45,GNG5,-1.7532637861114448,0.6183154681952683,0.000826028,0.8059215552143439
46,GMIP,-1.9669712289530465,-2.138295260735741,0.00146402,0.007220339363261194
47,SLC15A2,-2.255982742648841,2.9609482662791247,4.06138e-05,0.9989071090299289
48,ALS2CL,-2.0888018572564397,1.3574881195079658,0.000267367,0.9579417700525036
49,SKIDA1,-2.293292144868327,0.5557431834877433,0.00128424,0.7823895066299221
50,PDE8B,-3.0485724564958203,-0.22100983479714154,0.000135006,0.3754528450051599
51,EMILIN2,-1.9999604001880569,1.4393077686529006,0.000754156,0.9649103375419961
52,SDE2,-2.0314053887367063,6.783299434225573,0.000943965,0.9999998352973851
53,KCTD17,-2.1348824943063063,-0.7914375412723248,0.00127524,0.13915185679477016
54,INPP5E,-2.1523488662616552,-0.17018444676213074,0.000289138,0.40326862034733696
55,RBM48,-1.9775582718580567,2.217386982424563,0.000656994,0.9939745666127073
56,LIMA1,-2.120873584457472,3.5053496824314747,4.84557e-05,0.9996877412016393
57,APP,-2.3384467937133615,1.1585552412524383,0.000821557,0.9350918780288485
58,ACSL1,-2.192198618547206,7.001226633809428,0.000165343,0.9999999002820543
59,PIDD1,-1.6686034955824538,2.214961344437489,0.00115792,0.9939410234535441
60,YEATS2,-2.354838512162116,0.01503222978005102,0.000108552,0.5086523832299842
61,KCNJ6,-2.761058826373141,3.7872653442240694,0.000125621,0.9998368211822336
62,RUNX1,-2.521719803923377,2.843909454517258,0.000131935,0.998569562556997
63,ARHGAP12,-2.6584246222122334,-0.19864338452366542,5.73037e-05,0.3876043883746486
64,ANGPTL2,-2.1850553355199827,2.877721562918206,0.00027632,0.9986765629307321
65,FAT4,-2.8513197575635774,4.156770194950046,9.12116e-05,0.9999303053348283
66,C1QL2,-2.456243352315862,-0.23415949611265233,0.00123276,0.3683801787577575
67,ZNF281,-2.26915748315606,2.3857387658596885,0.000611341,0.9959028843378677
68,SLC19A3,-2.5238133522874264,-0.18902415877534023,0.000137927,0.39287476036339525
69,CIB1,-2.242668189885942,1.0396115561955923,9.26989e-05,0.9163528446495307
70,RASGRP2,-2.2758217801636142,1.5100494193281957,0.000405655,0.9700267195125855
71,SNX1,-2.265003446300491,2.647385676491399,0.000316202,0.9977528229609883
