,GeneSymb,MeanPval,OR_a,OR_d,OR_s,Pval,Ya,Yd,Ys,Score
123,CD74,-2.117128489661213,3.333940453554055,3.766921852784901,10.537344002075596,0.00058452,0.9995367042747667,0.999828996942649,0.9999999999709828,3.998265296233032
1394,DOCK2,-2.0701838469494995,8.88413950064664,2.4989060636190215,0.5933264544504835,0.00024306,0.9999999986942486,0.9968397656392165,0.796763026814304,3.031153926594107
330,DEF6,-2.0777942818865416,4.486922000683268,3.5196691762244265,3.872965007894637,0.000310045,0.9999674115393874,0.9996978660080666,0.9998660394845633,3.0188231717436596
2111,HMOX1,-2.415361327695324,4.685568614476097,3.9275750882656193,2.124195790097454,0.000130525,0.9999793736478779,0.9998818663550987,0.9925431806871567,2.997237245987524
1982,SLCO2B1,-1.9936908106433484,6.219937311782837,-1.0033910427770854,6.763535465993875,0.000505237,0.9999993973537944,0.09026584600641811,0.9999998276288976,2.9935256944882784
1299,TREM2,-2.3396539148957864,2.232415669130339,2.1709740801177566,5.872963813310353,0.000532112,0.9941783161455839,0.9932995164711682,0.9999986602134772,2.8825525512076347
995,SLC7A7,-2.0514509857303733,5.058420786487929,-2.39997079460833,8.365841283016687,0.000438309,0.9999912587122417,0.00396555122776919,0.9999999956931602,2.8631073720145674
2053,LAT2,-2.151690150992176,3.3437860296223203,3.215518689101481,4.082212823564185,0.000773109,0.9995470844547154,0.9993915610771478,0.9999172531941289,2.8494313325440856
348,LGALS9,-2.167500223531894,1.6477220989928998,5.228961828554184,3.2453344999722913,0.00357718,0.9779903830019472,0.9999940975052697,0.9994319079513494,2.770753183019176
1752,ITGB2,-1.9696872100972758,6.270059309644299,-2.0095502523666595,6.3695011281560765,0.000411998,0.999999463041827,0.009687727376844993,0.9999995729303723,2.7565119692875903
1426,RHBDF2,-1.9930601488653514,3.751046677697763,-0.34597774663335273,6.419322025284904,0.000545442,0.9998226315848988,0.31074402805694973,0.9999996192167736,2.6339285671575614
575,CXCL16,-2.268109526081159,5.388734983872461,3.301484452440505,0.1045611120972689,0.000465074,0.9999959143304136,0.9995007722918319,0.5599011422385812,2.5998515211089517
1717,PARVG,-2.1406335146107054,4.292246860211898,-0.16707394629264638,4.898131611101047,0.000178125,0.9999489811127704,0.40499333953546957,0.9999873566285313,2.574200844808736
121,HLA-DMA,-1.6975954822009096,2.4049339142455874,-0.8104901841085315,8.682924982144483,0.00286988,0.9960793324803923,0.1339794026770572,0.999999997924728,2.5616925264807113
984,TLR2,-2.5208523510514365,0.17957561210415374,-1.0029915591520957,8.11713772357242,0.000395535,0.6019239707274064,0.09034141024483872,0.9999999923640641,2.476046471613131
1647,TYROBP,-2.0852897576673453,1.6530103448796432,2.1610067374504296,4.604575973756339,0.000574485,0.9782509675504343,0.9931450240797991,0.9999751450306609,2.4457437215147415
1829,IRF5,-1.9316112947520685,0.7341247413628933,-0.03701048592828301,8.10612767218128,0.000530721,0.8442747431102509,0.478707936125205,0.9999999921680064,2.433012635312016
1494,PICALM,-2.649204157215325,2.639702830002902,1.5651044081527925,1.856138951096544,7.40763e-05,0.9977128075053368,0.973500850986679,0.9862641887897685,2.334759776816369
219,HLA-DPA1,-2.8239248994222548,3.5576437839642554,-1.7327559570710354,3.626952156845425,5.38983e-05,0.9997231554570238,0.01816693640755853,0.9997639818892277,2.3206024470009017
656,PLCG2,-2.547161641551835,1.8845470998086018,-0.7770570154701012,5.1636617430030025,0.000211019,0.9871227226597138,0.14316593921605458,0.9999931398236866,2.3187727919995016
685,AOAH,-2.657928683056474,1.917445179802544,-1.5352310252206738,5.214937064979811,9.82166e-05,0.9880509287452938,0.028332611197052368,0.999993903784828,2.2618228781218503
1170,SPI1,-1.6614133954214294,4.7922334556654915,-0.4979535491921409,4.220421370777465,0.000213152,0.99998386535044,0.24111423758237943,0.99993980609943,2.249823577252517
657,ERF,-2.280885676934453,6.794081654198146,0.9638422649551307,-1.1519045311573186,0.000125615,0.9999998393361107,0.9019718679007931,0.06584381165957626,2.2414460697998857
614,WDFY4,-2.8431692028247126,0.6312200651537667,3.083817905329446,1.067567143580597,0.00012215,0.8105269682397469,0.999176195474357,0.92115643607143,2.2186854537563248
1685,NFASC,-2.968244263155579,1.4957460910435074,2.7209218247888027,-0.022061832263764136,9.70289e-05,0.9690541818582882,0.998102188024159,0.4873029188274859,2.1832231455058806
380,EYA1,-2.652629556012069,-0.8580056232021273,2.6538795892142466,3.268900689001344,0.000155815,0.12178535141733844,0.9977861007117204,0.9994618968270872,2.170443887174945
1355,ABI3,-2.010341455089972,5.911586362506846,-1.4095676647992785,2.42205616139471,0.000598015,0.9999987742183797,0.03748353175597041,0.9962303277100126,2.159183204062032
1592,STEAP3,-2.157059709587736,5.3496065394517816,-1.0801641183419224,2.1583508943694727,0.000352523,0.9999955291353856,0.07676253387419281,0.9931032653729033,2.14982874070709
865,SYK,-2.7879113607265418,-0.3600052076529845,5.293824320602317,-0.4431809758041033,5.72821e-05,0.30386869306453623,0.9999949163754118,0.2649374361455091,2.142395369887476
779,CLU,-2.339210415241572,2.141927594558497,3.112266162835873,0.32300208725075535,0.000475619,0.9928393673468427,0.9992283886606587,0.6778131036749626,2.0991378483949736
653,NCKAP1L,-1.8736037278708841,5.770037336713237,-1.3979740191352426,2.491771071460742,0.000412779,0.9999983019052244,0.03845864241290178,0.9967875857106299,2.080774262108565
1846,PSEN1,-2.3875075305866162,0.7454805060375751,3.430159538964623,1.0981462018448007,0.000143408,0.8476816353161315,0.9996287391158977,0.9261209177865274,2.072718139767808
720,HLA-DRB1,-2.3684298176564007,1.5519436652430032,2.949019825115431,0.8064501877367048,9.26102e-05,0.9727077885070325,0.9988767095623192,0.864937565980944,2.06878385517739
