,GeneSymb,MeanPval,OR,Pval,Y,Score
0,RNF14,-2.48766747212106,-10.066815838357389,0.000183065,8.574013472807462e-11,4.497925960511655
1,PGM2L1,-1.9057216752359307,-0.07287018255533038,0.000212053,0.4581506883641226,15.073817413198842
2,SSFA2,-2.7076515758900173,0.45497773707370426,0.000145452,0.7403185646169095,14.79973543217379
3,ZNF708,-2.2040502249730656,2.171328267214937,0.000215544,0.9933049422249716,17.019687313231977
4,CAMK1,-1.8857421041104878,-2.742640494848931,0.000765409,0.0018054053244689263,12.424026672030685
5,CAMK4,-2.1290335641981564,-3.4734977681549535,9.23905e-05,0.00033601315360937774,11.449877938636995
6,ZNF704,-3.2214264125873653,-1.6556863372392105,7.6585e-05,0.021618321640993487,12.175296521163528
7,ZC3H13,-2.393865769137579,-6.600726875957193,8.4577e-05,2.507685190306041e-07,8.057816625895333
8,SPTLC2,-2.885518151538674,-1.656378419016177,0.000140055,0.021584641620801048,12.510512700435253
9,KDM2B,-2.1886926527878323,-0.7219425675506193,7.47168e-05,0.1594489079593817,14.141774050651652
10,DIMT1,-2.3697071154117517,-5.441535218648642,0.000267078,3.617955410475297e-06,9.24116693692971
11,TCOF1,-2.278632435673802,-1.7051482917321605,0.000109284,0.019336231566057023,13.068628543584142
12,NSRP1,-1.7535270241338987,-6.923719621888821,0.000159218,1.1920111734818714e-07,8.375162624967384
13,SIRPA,-1.995056243936514,-9.022075219250706,0.00225548,9.504401634715455e-10,6.035277807802885
14,GRINA,-2.4816579879016567,-2.941184514042736,5.77346e-05,0.0011437167771464858,11.629566769045711
15,CRB1,-2.6977498356857224,1.0189679510737077,6.83178e-05,0.9126365260216187,15.37362738637809
16,MUC4,-2.6469056934434563,0.03547371018965499,6.03996e-05,0.5204089632456902,14.440977287736303
17,ZNF671,-2.0097897561377827,-8.148633307428064,0.00153271,7.101771414197802e-09,6.893986207424257
18,PARP12,-2.449160526600961,-0.989465814251319,0.000245758,0.09293369797315204,13.613782930137823
